signal,presence_train,boot_mean_ic,boot_ci_lo,boot_ci_hi,significant,IC_train,IC_val,IC_test,|IC_train|
sig_val_opp_both_sides,0.9626008891190815,-0.17463478529969267,-0.18097141171145373,-0.1689331182540995,True,-0.20505609692570959,-0.19407065228747736,-0.12682368623565102,0.20505609692570959
sig_fval_opp_24h_both_sides,0.9626224696793129,-0.17461833929927265,-0.18072587985963162,-0.16901194153708532,True,-0.20323349171731522,-0.19474431978459672,-0.12762510307690011,0.20323349171731522
sig_fval_opp_1h_both_sides,0.9622987612758427,-0.16292011573314114,-0.16925092893785926,-0.15716458274079448,True,-0.18396020669630703,-0.1826397050274296,-0.12004627077579978,0.18396020669630703
sig_fpos_opp_24h_both_sides,0.9626440502395442,-0.11516160767771978,-0.12182603681576354,-0.10947114829918722,True,-0.18351983953650383,-0.10512443257122539,-0.04354655980583185,0.18351983953650383
sig_fval_opp_24h_flipper,0.8958090552030731,-0.17899490811613392,-0.1847966684272506,-0.17294357308251712,True,-0.1831911705157815,-0.188427364270249,-0.13738979025861406,0.1831911705157815
sig_val_opp_flipper,0.8959169580042298,-0.18009131214504323,-0.18588217899380996,-0.17409924104708632,True,-0.1831101659284422,-0.18924737937248504,-0.13779433541573677,0.1831101659284422
sig_fval_opp_0.25h_both_sides,0.9596443523673874,-0.1558230183944141,-0.16226195724565728,-0.1500512958220833,True,-0.17561243790663633,-0.17477069106425344,-0.10627299661365594,0.17561243790663633
sig_fval_opp_24h_overseller,0.9763261254262161,-0.17560072159002152,-0.18174643285693498,-0.16955632190916625,True,-0.1743894001864004,-0.19339586670765743,-0.14771596887463762,0.1743894001864004
sig_val_opp_overseller,0.9763477059864474,-0.17448138630590154,-0.18050430804636633,-0.16842242875752506,True,-0.17429349706607608,-0.19197230247288358,-0.14913491116061048,0.17429349706607608
sig_fval_opp_1h_overseller,0.9761750615045967,-0.1729628931586142,-0.17935307579350623,-0.16698038295688936,True,-0.17312849671338715,-0.18888091588767855,-0.13162023793453767,0.17312849671338715
sig_fval_opp_1h_flipper,0.895679571841685,-0.15907486222402048,-0.1648610856706574,-0.15305596297926705,True,-0.16672630538308186,-0.17061775033969734,-0.12454386052383877,0.16672630538308186
sig_fval_opp_0.25h_overseller,0.9750097112521041,-0.1652197777265095,-0.17155334206351838,-0.15934049035407222,True,-0.1640903755828814,-0.18218040026188403,-0.12026989234754677,0.1640903755828814
sig_fpos_opp_24h_overseller,0.9763261254262161,-0.12828255249343862,-0.13432335752184119,-0.12245441967944592,True,-0.16038698844726032,-0.12576416142862848,-0.09737232897632525,0.16038698844726032
sig_fpos_opp_24h_flipper,0.8957227329621477,-0.12418622966929689,-0.12982047105441782,-0.11808755336178989,True,-0.1575969544011399,-0.1141208725442638,-0.07864671161227321,0.1575969544011399
sig_fpos_opp_1h_both_sides,0.9623203418360741,-0.10226184348074613,-0.10868866887007252,-0.09665053529271565,True,-0.15729754814994254,-0.09739059990842591,-0.03703650478861682,0.15729754814994254
sig_fval_opp_0.25h_flipper,0.8890975009711252,-0.14520573247307647,-0.15089827762899632,-0.13885640305624156,True,-0.1527607023461823,-0.15869789563451492,-0.10698860471853076,0.1527607023461823
sig_fpos_opp_0.25h_both_sides,0.9596011912469248,-0.09812551792355068,-0.10451525127352866,-0.09224267117633318,True,-0.1483056018525787,-0.09558237070683508,-0.031841572963214736,0.1483056018525787
sig_fpos_opp_1h_overseller,0.9761534809443653,-0.11545240649839285,-0.12152403699463017,-0.1094660498907851,True,-0.14669980155810128,-0.11123729665081329,-0.06637112521008094,0.14669980155810128
sig_fpos_opp_1h_flipper,0.895679571841685,-0.10815858853503839,-0.11353064177953522,-0.10198074808848524,True,-0.1413221201921289,-0.10247137610716689,-0.06530219291078439,0.1413221201921289
sig_fpos_opp_0.25h_overseller,0.9749449695714101,-0.10916565157446959,-0.11526017974854688,-0.10322640820267076,True,-0.1365709943363076,-0.10818531908254965,-0.05866316869118847,0.1365709943363076
sig_fpos_opp_0.25h_flipper,0.8890327592904311,-0.09997379235715918,-0.10560128883158135,-0.09368831703221529,True,-0.1305948898252444,-0.09787719541178162,-0.055348249875567024,0.1305948898252444
sig_uwl_opp_whale,0.2889421209374595,-0.04206207027922855,-0.04812094213385606,-0.03581877307249422,True,-0.07908026634944282,-0.029628221238302513,-0.01956693704643241,0.07908026634944282
sig_fuwl_opp_72h_whale,0.2883810263714446,-0.04150680874973793,-0.047569856111988336,-0.035188123771014275,True,-0.07827905353366867,-0.029299879458580192,-0.019361822192425382,0.07827905353366867
sig_fuwl_opp_24h_whale,0.2912512408822133,-0.038689731366517856,-0.044868391526660945,-0.03257416492934014,True,-0.07325829111405449,-0.028547968887668855,-0.019434247954597555,0.07325829111405449
sig_fuwl_opp_1h_whale,0.28978376278648194,-0.037780022140268425,-0.04408920232813938,-0.03130875709280103,True,-0.06605244610339649,-0.03141543771825112,-0.019662389685602775,0.06605244610339649
sig_fuwl_opp_1h_retail,0.3922914238853641,0.04715823044036327,0.041202449803239116,0.05332029570680558,True,0.019774744859812114,0.05877455037224795,0.09338095455886576,0.019774744859812114
sig_fuwl_opp_24h_retail,0.3911476541931029,0.05061729156942323,0.04453299645943115,0.05670012877178055,True,0.01926002917636709,0.06116406807746686,0.09939570726973385,0.01926002917636709
sig_fuwl_opp_72h_retail,0.39134187923518493,0.05093273545922633,0.044939112387582546,0.0570496766561819,True,0.018908225855799536,0.06144081461703773,0.09929674443032929,0.018908225855799536
sig_uwl_opp_retail,0.3909750097112521,0.05119906119696427,0.04522597608935433,0.05740434438260871,True,0.018447070421929238,0.061916998960587576,0.09933266158591104,0.018447070421929238
sig_fuwl_opp_1h_gambler,0.11720402261642712,0.03614666039287482,0.030761714583431115,0.04164995058260796,True,0.018104868302331333,0.04721798902530887,0.0665099107660775,0.018104868302331333
sig_fuwl_opp_24h_gambler,0.11571496396046442,0.03608453898896694,0.030718378661375605,0.04172147352189026,True,0.01728794646635043,0.048063393043878765,0.06766151124901117,0.01728794646635043
sig_fuwl_opp_72h_gambler,0.11586602788208382,0.03587180806123628,0.030416216429043456,0.0415019525727318,True,0.016872047865826145,0.04800563784915948,0.06820294708346501,0.016872047865826145
sig_uwl_opp_gambler,0.11567180284000173,0.035832595346021075,0.030351837516336515,0.04158707724712631,True,0.01682671513390399,0.04799956788844054,0.06770937186278383,0.01682671513390399
