name,price_label,same_label,opp_label,filled_trades,win_rate,net_roi_on_stake,net_pnl_usdc
0.25-0.40 | same==1 | opp<=1,0.25-0.40,same==1,opp<=1,29,0.3448275862068966,0.20508845741295784,594.7565264975777
0.60-0.75 | same==1 | opp==0,0.60-0.75,same==1,opp==0,69,0.782608695652174,0.15922579243372006,1098.6579677926684
0.60-0.75 | same==1 | opp<=1,0.60-0.75,same==1,opp<=1,93,0.7526881720430108,0.11236723203908335,1045.015257963475
0.25-0.40 | same==1 | opp==0,0.25-0.40,same==1,opp==0,19,0.3157894736842105,0.10164341988062725,193.12249777319178
0.10-0.25 | same==1 | opp<=1,0.10-0.25,same==1,opp<=1,13,0.23076923076923078,0.10158477872144304,132.06021233787595
0.60-0.75 | same<=1 | opp==0,0.60-0.75,same<=1,opp==0,225,0.7244444444444444,0.07733513177375267,1740.040464909435
0.60-0.75 | same==0 | opp<=1,0.60-0.75,same==0,opp<=1,237,0.7172995780590717,0.06655275861817586,1577.300379250768
0.60-0.75 | same==0 | opp==0,0.60-0.75,same==0,opp==0,205,0.7170731707317073,0.06422535343813332,1316.619745481733
0.60-0.75 | same<=1 | opp<=1,0.60-0.75,same<=1,opp<=1,259,0.7142857142857143,0.06117759318244098,1584.4996634252213
0.90-1.00 | same<=1 | opp<=1,0.90-1.00,same<=1,opp<=1,145,1.0,0.007635420353396338,110.7135951242469
0.90-1.00 | same<=1 | opp==0,0.90-1.00,same<=1,opp==0,136,1.0,0.0065658482666834965,89.29553642689555
0.90-1.00 | same==1 | opp<=1,0.90-1.00,same==1,opp<=1,192,1.0,0.005973012187433748,114.68183399872795
0.90-1.00 | same==1 | opp==0,0.90-1.00,same==1,opp==0,185,1.0,0.0047910260570051015,88.63398205459437
0.90-1.00 | same==0 | opp<=1,0.90-1.00,same==0,opp<=1,136,0.9926470588235294,-0.001778578160133541,-24.188662977816158
0.90-1.00 | same==0 | opp==0,0.90-1.00,same==0,opp==0,129,0.9922480620155039,-0.0027368671946008307,-35.30558681035072
0.75-0.90 | same==0 | opp==0,0.75-0.90,same==0,opp==0,182,0.8296703296703297,-0.004258841280170525,-77.51091129910355
0.75-0.90 | same==1 | opp==0,0.75-0.90,same==1,opp==0,103,0.8349514563106796,-0.008264846038731422,-85.12791419893364
0.75-0.90 | same==1 | opp<=1,0.75-0.90,same==1,opp<=1,129,0.8294573643410853,-0.012936655665419019,-166.88285808390535
0.75-0.90 | same==0 | opp<=1,0.75-0.90,same==0,opp<=1,201,0.8208955223880597,-0.013381992928307928,-268.97805785898936
0.75-0.90 | same<=1 | opp==0,0.75-0.90,same<=1,opp==0,195,0.8102564102564103,-0.026815837005412894,-522.9088216055515
0.75-0.90 | same<=1 | opp<=1,0.75-0.90,same<=1,opp<=1,217,0.8064516129032258,-0.03066558619589893,-665.4432204510068
0.40-0.60 | same<=1 | opp==0,0.40-0.60,same<=1,opp==0,193,0.47668393782383417,-0.04932841011559822,-952.0383152310457
0.40-0.60 | same==0 | opp==0,0.40-0.60,same==0,opp==0,196,0.4744897959183674,-0.05299430390214336,-1038.6883564820098
0.40-0.60 | same<=1 | opp<=1,0.40-0.60,same<=1,opp<=1,191,0.45549738219895286,-0.08759663114445179,-1673.0956548590293
0.10-0.25 | same==0 | opp==0,0.10-0.25,same==0,opp==0,35,0.17142857142857143,-0.09876044410047503,-345.66155435166263
0.40-0.60 | same==0 | opp<=1,0.40-0.60,same==0,opp<=1,196,0.4489795918367347,-0.1022494111321826,-2004.088458190779
0.40-0.60 | same==1 | opp<=1,0.40-0.60,same==1,opp<=1,93,0.45161290322580644,-0.11639964409738622,-1082.5166901056919
0.25-0.40 | same<=1 | opp<=1,0.25-0.40,same<=1,opp<=1,162,0.2777777777777778,-0.11790298329222634,-1910.0283293340667
0.10-0.25 | same<=1 | opp<=1,0.10-0.25,same<=1,opp<=1,70,0.17142857142857143,-0.1527117094522506,-1068.981966165754
0.25-0.40 | same<=1 | opp==0,0.25-0.40,same<=1,opp==0,135,0.26666666666666666,-0.15823314779670888,-2136.14749525557
0.25-0.40 | same==0 | opp<=1,0.25-0.40,same==0,opp<=1,147,0.2653061224489796,-0.17546275020003946,-2579.30242794058
0.25-0.40 | same==0 | opp==0,0.25-0.40,same==0,opp==0,126,0.2619047619047619,-0.1868401129965789,-2354.185423756894
0.10-0.25 | same<=1 | opp==0,0.10-0.25,same<=1,opp==0,40,0.15,-0.21154038858791574,-846.161554351663
0.40-0.60 | same==1 | opp==0,0.40-0.60,same==1,opp==0,57,0.40350877192982454,-0.2273642448835437,-1295.9761958361992
0.10-0.25 | same==0 | opp<=1,0.10-0.25,same==0,opp<=1,60,0.15,-0.2502236964172716,-1501.3421785036296
0.00-0.10 | same<=1 | opp<=1,0.00-0.10,same<=1,opp<=1,13,0.0,-1.001,-1301.2999999999997
0.00-0.10 | same==0 | opp<=1,0.00-0.10,same==0,opp<=1,9,0.0,-1.001,-900.9
0.00-0.10 | same<=1 | opp==0,0.00-0.10,same<=1,opp==0,4,0.0,-1.001,-400.4
0.00-0.10 | same==0 | opp==0,0.00-0.10,same==0,opp==0,3,0.0,-1.001,-300.29999999999995
0.00-0.10 | same==1 | opp==0,0.00-0.10,same==1,opp==0,2,0.0,-1.001,-200.2
0.00-0.10 | same==1 | opp<=1,0.00-0.10,same==1,opp<=1,7,0.0,-1.0010000000000001,-700.7
0.10-0.25 | same==1 | opp==0,0.10-0.25,same==1,opp==0,6,0.0,-1.0010000000000001,-600.6
