fraction,threshold,split,trades,firing_rate,copyable_pnl_net,copyable_roi_net,pnl_per_trade
0.1,0.7373,val,5839,0.1118,124.25,0.0161,0.0213
0.1,0.7373,test,4194,0.0993,106.44,0.0116,0.0254
0.2,0.5404,val,11884,0.2276,-66.66,-0.003,-0.0056
0.2,0.5404,test,8708,0.2061,259.3,0.0088,0.0298
0.3,0.369,val,17851,0.3419,-14.64,-0.0003,-0.0008
0.3,0.369,test,13267,0.314,-605.04,-0.0105,-0.0456
0.5,0.067,val,29162,0.5585,-1426.92,-0.0156,-0.0489
0.5,0.067,test,23304,0.5516,803.05,0.0079,0.0345
0.7,-0.2225,val,39636,0.7591,-1560.92,-0.0105,-0.0394
0.7,-0.2225,test,32987,0.7808,4292.26,0.0287,0.1301
0.9,-0.576,val,48319,0.9253,2415.88,0.0124,0.05
0.9,-0.576,test,40101,0.9492,8890.08,0.0459,0.2217
