signal,IC_roi_res_train,IC_roi_res_val,IC_roi_res_test,boot_mean_roi_res,boot_ci_roi_res,IC_copyable_roi_train,IC_copyable_roi_val,IC_copyable_roi_test,boot_mean_copyable_roi,boot_ci_copyable_roi,IC_copyable_pnl_train,IC_copyable_pnl_val,IC_copyable_pnl_test,boot_mean_copyable_pnl,boot_ci_copyable_pnl,|IC_roi_res_train|
sig_val_opp_both_sides,-0.20505609692570959,-0.19407065228747736,-0.12682368623565102,-0.17463478529969267,"[-0.1810, -0.1689]",-0.06935114270848142,-0.036294537719841216,0.06368226071016828,-0.057171627129894334,"[-0.0649, -0.0497]",-0.1371208017312267,-0.09711509594744634,-0.007551839012981371,-0.12160677589311286,"[-0.1279, -0.1159]",0.20505609692570959
sig_fval_opp_24h_both_sides,-0.20323349171731522,-0.19474431978459672,-0.12762510307690011,-0.17461833929927265,"[-0.1807, -0.1690]",-0.06666525007937199,-0.041303455530185156,0.05498861771988146,-0.05824073264601718,"[-0.0662, -0.0505]",-0.13460988713386932,-0.10085084854348039,-0.014953231119540182,-0.12236933147475014,"[-0.1286, -0.1167]",0.20323349171731522
sig_fval_opp_6h_both_sides,-0.1975011707761667,-0.19303198603705432,-0.1273998156986599,-0.17237650091717024,"[-0.1784, -0.1666]",-0.05882358165724332,-0.04486588581960174,0.040791360229891195,-0.05609179545230075,"[-0.0640, -0.0483]",-0.12577019729609332,-0.10257842526637681,-0.02518051006504985,-0.11910860050276816,"[-0.1255, -0.1135]",0.1975011707761667
sig_fval_opp_1h_both_sides,-0.18396020669630703,-0.1826397050274296,-0.12004627077579978,-0.16292011573314114,"[-0.1693, -0.1572]",-0.036922665136113975,-0.0379274084565712,0.023106799561627922,-0.042587129475038156,"[-0.0500, -0.0350]",-0.10232865253478539,-0.0916278306433339,-0.03125994315616778,-0.1029576819223571,"[-0.1090, -0.0972]",0.18396020669630703
sig_fval_opp_24h_flipper,-0.1831911705157815,-0.188427364270249,-0.13738979025861406,-0.17899490811613392,"[-0.1848, -0.1729]",-0.07134674602528086,-0.037232366664201245,-0.027955429197935658,-0.05580699958887021,"[-0.0637, -0.0486]",-0.11425397540797308,-0.08893655325639423,-0.08449119475746818,-0.10367766066497387,"[-0.1098, -0.0981]",0.1831911705157815
sig_val_opp_flipper,-0.1831101659284422,-0.18924737937248504,-0.13779433541573677,-0.18009131214504323,"[-0.1859, -0.1741]",-0.0708384995527033,-0.041286735243297554,-0.031975980371119046,-0.057729185723462396,"[-0.0655, -0.0503]",-0.11447506287849944,-0.09229086826860618,-0.08837665643538742,-0.10548436607573843,"[-0.1118, -0.1000]",0.1831101659284422
sig_fval_opp_6h_flipper,-0.18042633321521784,-0.1846425165233526,-0.1344831452419441,-0.1744814753742247,"[-0.1803, -0.1686]",-0.06699330569154924,-0.02764163053778841,-0.018147375666273422,-0.048637361690279886,"[-0.0570, -0.0413]",-0.10867581009962257,-0.07971608294568246,-0.07282255697429063,-0.09639626747630149,"[-0.1024, -0.0908]",0.18042633321521784
sig_fval_opp_6h_overseller,-0.1749702508217778,-0.19413794550013674,-0.14367057711485937,-0.1769958068887116,"[-0.1832, -0.1709]",-0.1576559226088843,-0.18422644077968361,-0.1590028262378902,-0.16860433733804048,"[-0.1758, -0.1609]",-0.1823934930716133,-0.21010516139844446,-0.1882289915551809,-0.19758558310654079,"[-0.2035, -0.1920]",0.1749702508217778
sig_fval_opp_24h_overseller,-0.1743894001864004,-0.19339586670765743,-0.14771596887463762,-0.17560072159002152,"[-0.1817, -0.1696]",-0.1642411894824798,-0.193002100722677,-0.17136435426438715,-0.17533203401250794,"[-0.1825, -0.1676]",-0.19028223959790005,-0.2174316199324935,-0.199390557368113,-0.20456694757849495,"[-0.2107, -0.1991]",0.1743894001864004
sig_val_opp_overseller,-0.17429349706607608,-0.19197230247288358,-0.14913491116061048,-0.17448138630590154,"[-0.1805, -0.1684]",-0.16488743558810603,-0.19444047172127424,-0.17648135987481595,-0.17633702648455515,"[-0.1833, -0.1686]",-0.1919274013031051,-0.218562460330255,-0.2036370889303532,-0.20592853128324068,"[-0.2121, -0.2005]",0.17429349706607608
sig_fval_opp_1h_overseller,-0.17312849671338715,-0.18888091588767855,-0.13162023793453767,-0.1729628931586142,"[-0.1794, -0.1670]",-0.13535014523223593,-0.16486921701878907,-0.1366782593777966,-0.14835146128878013,"[-0.1560, -0.1407]",-0.16074140092478217,-0.1912976503432917,-0.16523627816874772,-0.17832547836394855,"[-0.1840, -0.1725]",0.17312849671338715
sig_val_opp_max_dd,-0.17082282514784808,-0.19920894047588728,-0.148974771668694,-0.17274486817318654,"[-0.1788, -0.1668]",-0.16678936368369038,-0.2334623907088894,-0.21950880121621896,-0.1963803543010398,"[-0.2036, -0.1894]",-0.20552594339180175,-0.24727211017943146,-0.2374549440569695,-0.22648128668295214,"[-0.2328, -0.2208]",0.17082282514784808
sig_fval_opp_24h_max_dd,-0.1701209281650797,-0.19976722970973157,-0.14907499500084218,-0.17466123526545532,"[-0.1805, -0.1689]",-0.1698509884121498,-0.2370248879076774,-0.22153321756838726,-0.20026046344276888,"[-0.2074, -0.1932]",-0.20650481693678283,-0.2502703554404763,-0.238596914486991,-0.2288944917655853,"[-0.2351, -0.2232]",0.1701209281650797
sig_fval_opp_6h_max_dd,-0.16801913958672418,-0.20029860713545997,-0.14788264769797818,-0.17824918046722088,"[-0.1841, -0.1725]",-0.17706975043601278,-0.24127351434779212,-0.22110358562357388,-0.20728536730418867,"[-0.2141, -0.1999]",-0.20760858990791897,-0.25330589030618667,-0.23675416958301906,-0.23196139500732438,"[-0.2380, -0.2262]",0.16801913958672418
sig_fval_opp_1h_flipper,-0.16672630538308186,-0.17061775033969734,-0.12454386052383877,-0.15907486222402048,"[-0.1649, -0.1531]",-0.05154345746829259,-0.010937168328070873,-0.0031495739195661404,-0.03274771301966706,"[-0.0403, -0.0252]",-0.09087501294569189,-0.05892290898828172,-0.050585084897134244,-0.07769755185994075,"[-0.0835, -0.0716]",0.16672630538308186
sig_fval_opp_1h_max_dd,-0.1644836521278157,-0.19469243588180013,-0.13932432102775794,-0.1794231946071095,"[-0.1856, -0.1737]",-0.19185038589186496,-0.24011463245977055,-0.20800443467813978,-0.21561864368062203,"[-0.2225, -0.2080]",-0.21024772586440624,-0.2509045143838959,-0.2237687821769648,-0.23304148111217377,"[-0.2390, -0.2273]",0.1644836521278157
