fold,split,score_col,fraction,floor,scale,trades,net_pnl,cost_paid,notional,peak_used,mean_used,pnl_per_peak,sharpe_daily,sharpe_weekly
A_train->val,val,copy_blend,,,3.0,18958,-850.97,0.0,74474.6,6113.57,1135.93,-0.1392,-0.152,-2.691
A_train->val,val,copy_blend,0.5,-0.0326,3.0,18958,-850.97,0.0,74474.6,6113.57,1135.93,-0.1392,-0.152,-2.691
A_train->val,val,copy_blend,0.25,0.375,0.5,9335,-17.17,0.0,12089.2,1656.95,215.5,-0.0104,-0.026,-0.478
A_train->val,val,copy_blend,0.1,0.7013,0.1,3065,1.5,0.0,798.56,158.84,17.17,0.0094,0.046,0.42
A_train->val,val,copy_blend3,,,3.0,20736,-964.17,0.0,93932.14,6477.01,1347.6,-0.1489,-0.138,-3.42
A_train->val,val,copy_blend3,0.5,-0.021,3.0,20736,-964.17,0.0,93932.14,6477.01,1347.6,-0.1489,-0.138,-3.42
A_train->val,val,copy_blend3,0.25,0.4341,0.1,10621,-7.05,0.0,3324.65,357.28,53.72,-0.0197,-0.027,-0.309
A_train->val,val,copy_blend3,0.1,0.7671,0.30000000000000004,3239,18.21,0.0,2506.71,235.82,50.98,0.0772,0.183,1.027
A_train->val,val,copy_overseller,,,3.0,23065,-473.79,0.0,125334.47,7083.78,1700.2,-0.0669,-0.055,-2.104
A_train->val,val,copy_overseller,0.5,0.0,3.0,23065,-473.79,0.0,125334.47,7083.78,1700.2,-0.0669,-0.055,-2.104
A_train->val,val,copy_overseller,0.25,0.5001,0.30000000000000004,12024,204.8,0.0,15432.14,1594.63,229.41,0.1284,0.322,5.331
A_train->val,val,copy_overseller,0.1,0.7999,1.6,4008,24.73,0.0,19275.95,4311.03,362.5,0.0057,0.05,0.371
A_train->val,val,copy_max_dd,,,1.4000000000000001,24300,-1228.02,0.0,100151.14,6592.15,1461.25,-0.1863,-0.22,-3.236
A_train->val,val,copy_max_dd,0.5,0.0013,1.4000000000000001,24300,-1228.02,0.0,100151.14,6592.15,1461.25,-0.1863,-0.22,-3.236
A_train->val,val,copy_max_dd,0.25,0.5,1.9000000000000001,12359,-762.7,0.0,75761.46,6422.41,1196.0,-0.1188,-0.207,-2.67
A_train->val,val,copy_max_dd,0.1,0.8,0.9,4038,-34.9,0.0,13423.64,2134.66,272.1,-0.0163,-0.044,-0.542
A_train->val,val,score_all,,,0.7000000000000001,34486,1449.09,0.0,151910.93,5732.01,2008.85,0.2528,0.138,4.109
A_train->val,val,score_price,,,3.0,21169,-96.67,0.0,197118.9,7649.7,2529.39,-0.0126,-0.01,-0.204
B_trainval->test,test,copy_blend,,,0.5,16137,68.32,0.0,21674.04,1889.61,259.83,0.0362,0.06,0.685
B_trainval->test,test,copy_blend,0.5,0.067,0.30000000000000004,14483,33.74,0.0,12877.21,1132.71,154.52,0.0298,0.051,0.56
B_trainval->test,test,copy_blend,0.25,0.4535,0.1,6119,26.04,0.0,2756.95,370.5,33.81,0.0703,0.317,1.824
B_trainval->test,test,copy_blend,0.1,0.7373,1.6,1973,106.44,0.0,9207.62,3593.87,121.56,0.0296,0.627,3.606
B_trainval->test,test,copy_blend3,,,3.0,18197,2151.56,0.0,104001.63,6700.96,1207.84,0.3211,0.36,3.461
B_trainval->test,test,copy_blend3,0.5,0.1281,3.0,15557,1983.56,0.0,100569.29,6657.59,1167.41,0.2979,0.345,3.298
B_trainval->test,test,copy_blend3,0.25,0.543,0.1,6636,-33.71,0.0,3364.65,422.21,40.31,-0.0798,-0.155,-1.494
B_trainval->test,test,copy_blend3,0.1,0.7989,0.1,2235,10.72,0.0,919.32,315.27,11.96,0.034,0.62,4.307
B_trainval->test,test,copy_overseller,,,0.1,19038,154.8,0.0,7582.57,454.34,88.06,0.3407,0.344,3.624
B_trainval->test,test,copy_overseller,0.5,0.2055,0.5,15850,749.92,0.0,36520.33,2260.3,424.33,0.3318,0.351,3.548
B_trainval->test,test,copy_overseller,0.25,0.621,0.1,7159,-5.82,0.0,4473.06,440.83,51.92,-0.0132,-0.02,-0.338
B_trainval->test,test,copy_overseller,0.1,0.8463,0.9,2594,117.55,0.0,11505.08,2892.3,154.06,0.0406,0.571,2.761
B_trainval->test,test,copy_max_dd,,,3.0,20896,3444.8,0.0,138184.57,7203.63,1618.11,0.4782,0.482,5.988
B_trainval->test,test,copy_max_dd,0.5,0.2371,3.0,16568,2975.08,0.0,127524.29,7160.33,1502.12,0.4155,0.454,6.49
B_trainval->test,test,copy_max_dd,0.25,0.6243,3.0,7020,296.66,0.0,58389.73,6671.25,706.26,0.0445,0.209,3.01
B_trainval->test,test,copy_max_dd,0.1,0.8482,0.7000000000000001,2334,5.18,0.0,7405.27,2424.6,109.23,0.0021,0.032,0.244
B_trainval->test,test,score_all,,,0.7000000000000001,28442,6723.72,0.0,143590.51,6026.41,1644.55,1.1157,0.814,8.801
B_trainval->test,test,score_price,,,3.0,17743,7691.95,0.0,191101.27,8443.53,2103.79,0.911,0.994,7.793
