n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,bin
4265,0.2,-0.6449857799631159,-0.8730186690367602,0.8502632392460558,11.530194385209109,0.07374231611713072,1779.2420979587582,train,exposure,0-20
4569,0.9663742800000006,-0.6190312195278922,-0.8728080206797811,0.9199835520368921,10.511386043651962,0.08752257297147684,2638.2968634769777,train,exposure,20-40
4900,2.0,-0.5769929659242954,-0.8724008864024193,0.796640717144128,12.235738256487446,0.0651076952158359,3034.026875344428,train,exposure,40-60
5315,4.621382445000001,-0.5078584685442705,-0.8718965264017992,0.7386037799991827,7.71383965640155,0.09575047095854933,4609.114951786609,train,exposure,60-80
5429,15.859637199999998,-0.3895746865925397,-0.2062764080790529,0.7962774869070566,6.705525358912035,0.11874945575274833,10094.366104372246,train,exposure,80-100
2759,23.976476799999997,-0.3570068692577718,-0.18297800852642632,0.719937003768465,5.890662211355456,0.12221665034206838,6454.882466558405,train,exposure,90-100
1844,0.5890227361780499,-0.7195710771616496,-0.8690830969544125,-0.03416196005454016,5.0933979257435436,-0.006707106052302626,65.2762536140333,val,exposure,0-20
1748,2.1009,-0.7025043126456182,-0.868700076424281,-0.08949338157182579,3.2107121278721102,-0.027873374506215,4.346583396921744,val,exposure,20-40
1839,4.558399999999997,-0.653893553708635,-0.8682732530297622,0.05582242324941917,4.259244731484622,0.013106178857668375,44.78839068474079,val,exposure,40-60
1875,9.999999000000004,-0.5863881675244197,-0.8678114886791041,0.011645652638017024,2.1702920874185447,0.005365937933206472,82.11245364621715,val,exposure,60-80
2650,20.2177163040244,-0.5582365896178035,-0.8674354312182485,-0.1694040255222667,1.4618138468000823,-0.1158861820149624,-1801.6367264025698,val,exposure,80-100
1617,21.698917827000002,-0.5499566203864155,-0.8673662637923951,-0.1547868725017673,1.507522001928066,-0.10267636048017906,-1243.9800154937798,val,exposure,90-100
1081,0.54,-0.8031691524036515,-0.9227164841146124,-0.0670371174902004,3.7806439504467675,-0.017731666448589655,-66.04965242464894,test,exposure,0-20
1072,1.8730000000000002,-0.7620428536724134,-0.9223269269652312,0.3688052278313042,4.41661858019848,0.08350397960213497,52.51158828463706,test,exposure,20-40
1150,4.452592,-0.7591470026591396,-0.9221118459668605,-0.11186242573047257,2.8709832094916594,-0.03896310691077817,-194.79352192350916,test,exposure,40-60
1229,8.761199999999999,-0.7122779459545147,-0.9218897136140768,-0.15261798062134727,2.3866987031898432,-0.06394522292125605,69.70476232000362,test,exposure,60-80
1760,24.101554455,-0.6201885289516693,-0.9211886237594251,-0.016709205060509512,1.9024357999868753,-0.008783058571871276,793.2108080975538,test,exposure,80-100
985,31.5191,-0.5865296912798827,-0.9208273511209243,0.06501126287306652,1.959619333561583,0.03317545492619191,285.6953282852097,test,exposure,90-100
