n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,bin
6709,8.0,-0.7953408155443539,-1.1557008915198812,0.4203284324197898,6.932163130004374,0.06063452699208546,22582.717962290197,train,exposure,0-20
7616,37.9497995,-0.7091312960964214,-1.1526602142204083,0.38847318534311653,3.5033764432421974,0.1108853677692724,42485.34810269051,train,exposure,20-40
8079,101.19779999999999,-0.6373704208955637,-0.6014694569512551,0.28226690485983974,2.535274436366645,0.11133583836563365,8719.857456674796,train,exposure,40-60
8112,270.2176884661646,-0.5687018054676736,-0.4959738779286955,0.3337243964474504,1.9016010095284503,0.1754965393766833,227471.59529190778,train,exposure,60-80
8907,1783.752132400001,-0.4162829451588503,-0.3683859835297454,0.44308585636550585,0.8840949091433823,0.5011745365605835,366847.0728782035,train,exposure,80-100
4716,2313.9620448852593,-0.36920224000713736,-0.3139771009781097,0.5108709905423725,0.764693957767027,0.6680724822701102,254781.8273969922,train,exposure,90-100
12014,5.127790829999997,-0.5558491186479431,-0.9109213705702232,-0.020131129364610652,1.9535006662277654,-0.010305156129526242,5033.383469690198,val,exposure,0-20
10715,20.7948,-0.5490846245641976,-0.9137003876923577,0.0448306492124992,2.38082691212576,0.01882986494489489,11044.849477040556,val,exposure,20-40
9161,57.62369984000003,-0.49846730916600873,-0.9061870155759018,0.11972536453917983,3.1954787215758746,0.0374671136849681,6786.342651212856,val,exposure,40-60
9476,149.25532454999998,-0.5193316393906593,-0.9123032803473843,-0.070994079611631,1.9936580422109036,-0.035609958231804295,-19012.60259182799,val,exposure,60-80
7476,558.649894993,-0.33440106931486646,-0.2680012035293994,0.1348720285351533,1.121287638081039,0.12028316727541204,34181.35709639044,val,exposure,80-100
3879,642.91485,-0.3664650350779047,-0.3092160803383102,0.0448661996271648,0.9143422049204709,0.04906937401086855,9577.255977638226,val,exposure,90-100
13561,4.842284920000008,-0.41264559611122087,-0.7913058143262443,-0.01584909140255907,1.9321518005976934,-0.008202818949140692,-4565.10863883085,test,exposure,0-20
11092,19.8906,-0.43783116617538337,-0.7963750067642354,0.03363899442660408,2.127474287668942,0.01581170433954437,-7378.272595004817,test,exposure,20-40
9085,55.63019021500008,-0.3699754531959527,-0.7896061964257156,0.1009758734437804,2.045872112392505,0.04935590686834092,-1699.2921029678073,test,exposure,40-60
8900,129.30145509050007,-0.3528659232283885,-0.7855937626290489,0.12154288682459154,2.9977013312526153,0.040545362393992666,-1805.9541153793834,test,exposure,60-80
5333,387.028606482637,-0.27684696261881303,-0.2005231244004647,0.20783571168635712,2.8196904120773727,0.07370869893948274,174810.26587044957,test,exposure,80-100
3273,414.31395288863746,-0.283018057843318,-0.19711520981926198,0.11577201996537467,1.3775737830293773,0.08404052210603502,61823.68323417485,test,exposure,90-100
