n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
430,0.3249110250000007,-0.41684699976835526,-0.8714502003427502,0.04899110200108634,1.158736198017178,0.04227977177628489,154.92815967302698,train,exposure,3,0.3,0.65,0-20,0.4486133120978124
623,1.9199999999999997,-0.3403798193627579,0.027246298942295327,0.2810939863624865,1.2232346627340551,0.2297956352334004,385.53428736990327,train,exposure,3,0.3,0.65,20-40,0.4486133120978124
952,2.5142553250000006,-0.39306509465601797,-0.8714177996627797,0.15507395593615814,1.2261953902690954,0.12646757373808615,479.2687738763907,train,exposure,3,0.3,0.65,40-60,0.4486133120978124
1250,4.999999,-0.3700994627233933,0.013880339701086708,0.18276893900463514,1.1903564413334888,0.15354135337806,997.9141006728657,train,exposure,3,0.3,0.65,60-80,0.4486133120978124
1644,13.22765,-0.3674006205334198,0.013880339701086708,0.1906254298164618,1.1930561623104237,0.15977909157881084,2051.497167697882,train,exposure,3,0.3,0.65,80-100,0.4486133120978124
589,0.04063088000000192,-0.2683310089930977,-0.18905971231430685,-0.03131447811773295,0.4437173967069048,-0.07057302316775639,95.84197648864557,train,exposure,4,0.65,0.9990000000000002,0-20,0.8394871724730795
434,7.3384,-0.23376416003518743,-0.14163061395972293,0.03523084783057646,0.45009933040353356,0.0782734953171125,150.76066319174154,train,exposure,4,0.65,0.9990000000000002,20-40,0.8394871724730795
708,11.851382749999999,-0.23829212422844473,-0.15666957913510313,0.026593971058691886,0.43906986131266723,0.06056888300004263,516.7484418738611,train,exposure,4,0.65,0.9990000000000002,40-60,0.8394871724730795
1062,9.999999,-0.23520478638869297,-0.15593580250163835,0.029656141850349774,0.4397203810459023,0.06744318236923837,378.6486721361431,train,exposure,4,0.65,0.9990000000000002,60-80,0.8394871724730795
2073,25.855996464999997,-0.24090740698636434,-0.14704673742729812,0.017521346449652007,0.45615497980294345,0.038410950719470684,1012.71454143857,train,exposure,4,0.65,0.9990000000000002,80-100,0.8394871724730795
654,0.3989735500000009,-0.5296129115953022,-0.8723848500808139,0.663050791224412,2.577211372242808,0.25727450932648754,405.0645426508998,train,exposure,2,0.12,0.3,0-20,0.1955833962497835
956,1.2660306300000006,-0.5454825863061958,-0.8723848500808139,0.6168405802933116,2.604451418914248,0.23684088549843715,774.4914182687305,train,exposure,2,0.12,0.3,20-40,0.1955833962497835
1129,2.30013264,-0.5707183137268886,-0.8723488115114653,0.4308779663601618,2.4431019901199598,0.17636511619353437,770.5576418368187,train,exposure,2,0.12,0.3,40-60,0.1955833962497835
1291,4.59248475,-0.5721729790633235,-0.8723488115114653,0.5072757851266451,2.592366349678652,0.1956805932114983,1060.4505926310003,train,exposure,2,0.12,0.3,60-80,0.1955833962497835
874,10.82536505130197,-0.5466504081600225,-0.872265630130976,0.4798849653672125,2.3861697161427657,0.20111099479669228,1970.8529668400265,train,exposure,2,0.12,0.3,80-100,0.1955833962497835
1603,0.162,-0.8351047006323136,-0.8740565818726699,1.5162715654052072,18.24920671121664,0.08308698506183561,827.0607338325908,train,exposure,0,0.0010000000000000009,0.03428571428571429,0-20,0.015374692098269612
1457,0.5251098680000006,-0.8359667363191589,-0.8739456567114093,1.5209684799161693,17.83739937678153,0.0852685107166448,498.55684612546395,train,exposure,0,0.0010000000000000009,0.03428571428571429,20-40,0.015374692098269612
971,1.1917752000000001,-0.8355627703992075,-0.8738101075060619,2.308932502516359,26.663112313330885,0.08659651114179762,353.34143887853133,train,exposure,0,0.0010000000000000009,0.03428571428571429,40-60,0.015374692098269612
547,3.0000080000000007,-0.8167173895981934,-0.8738101075060619,2.7352281446779676,22.059665674964805,0.12399227553943115,893.2508042003,train,exposure,0,0.0010000000000000009,0.03428571428571429,60-80,0.015374692098269612
327,4.007376559999999,-0.7374869151309822,-0.8738452230095335,6.726238316353182,24.672909324129574,0.2726163432123129,2586.899053900436,train,exposure,0,0.0010000000000000009,0.03428571428571429,80-100,0.015374692098269612
989,0.29445359999999965,-0.736636499543413,-0.8730928950255378,0.7679800124671313,5.21364112286818,0.14730204752655524,296.34668531359523,train,exposure,1,0.03428571428571429,0.12,0-20,0.06917645446511425
