n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
1009,9.086106750000004,-0.5896828456263984,-0.13356712877195967,0.10229921501222047,1.0751478779689019,0.09514897169817921,205.68692649592765,train,exposure,2,0.38,0.5900000000000001,0-20,0.4829985069101653
1352,41.09498974,-0.5970449172713,-0.13579798083535116,0.0844908391668645,1.0683858732494231,0.07908269968966489,6230.259187697034,train,exposure,2,0.38,0.5900000000000001,20-40,0.4829985069101653
1734,67.32404467500004,-0.5527707662844593,-0.11821432919800143,0.16312976286942252,1.060950363036755,0.1537581479330444,12149.702860248317,train,exposure,2,0.38,0.5900000000000001,40-60,0.4829985069101653
1740,229.6651102820001,-0.524785358610326,-0.11660802684594981,0.220661918229184,1.0647234888967154,0.20724809824364598,30018.75387680932,train,exposure,2,0.38,0.5900000000000001,60-80,0.4829985069101653
2057,1519.6,-0.2174142108843142,-0.07266446834235685,0.7626746656060052,0.7781458009999312,0.9801179478523878,139154.5382119966,train,exposure,2,0.38,0.5900000000000001,80-100,0.4829985069101653
723,9.755793439999989,-0.5639094402380525,-0.3378786607496109,0.010164573186686527,0.6799401706437467,0.014949217042233317,237.38330687216657,train,exposure,3,0.5900000000000001,0.789,0-20,0.6825045581317158
1196,56.63,-0.5402189114735293,-0.32880583585253015,0.04725732505987103,0.6733019997702964,0.07018741229937432,-3242.49433919744,train,exposure,3,0.5900000000000001,0.789,20-40,0.6825045581317158
1604,138.87290000000002,-0.500711799870128,-0.31968616951414064,0.11018578052932339,0.6352953128013679,0.17344025417636633,-4007.2225470498884,train,exposure,3,0.5900000000000001,0.789,40-60,0.6825045581317158
1838,333.20336062499996,-0.5071701322237423,-0.3139771009781097,0.10008132406471243,0.640242693836999,0.1563177917188265,29408.424030682698,train,exposure,3,0.5900000000000001,0.789,60-80,0.6825045581317158
2524,2223.211127346,-0.36300064239166996,-0.2715061999642816,0.32926582663893905,0.4668286880496589,0.7053247477453943,124375.96061941575,train,exposure,3,0.5900000000000001,0.789,80-100,0.6825045581317158
2935,6.75021615,-0.9924773183633823,-1.157422828809278,0.8170894297275041,10.372030533640721,0.0787781550659102,23206.395989673714,train,exposure,0,0.001,0.2,0-20,0.10067054184069443
2444,31.421445,-0.921462409517554,-1.1606055915064841,0.8607931430774151,5.89565254802835,0.1460047273927778,32136.192822388388,train,exposure,0,0.001,0.2,20-40,0.10067054184069443
1476,63.81789287899998,-0.9247130816897239,-1.16294575946888,0.633641814929156,5.400622607086393,0.11732754925288187,-2629.4259030255434,train,exposure,0,0.001,0.2,40-60,0.10067054184069443
903,145.0019931300002,-0.9333010338109475,-1.1647958307480446,0.5619991029404138,4.747000997299466,0.11839034861381553,127124.02426755689,train,exposure,0,0.001,0.2,60-80,0.10067054184069443
139,628.0103559999998,-0.5953399813404382,-1.1601506178264385,1.4361760677344335,2.9926993059559184,0.4798932070710307,17577.736326574875,train,exposure,0,0.001,0.2,80-100,0.10067054184069443
