n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
1063,61.94067964333046,-0.4913869194713859,-0.09550619389619663,0.2924626733772687,1.0682797637364903,0.27376974019832667,271.62357103318715,train,marg,2,0.38,0.5900000000000001,0-20,0.4829985069101653
1475,65.99872280999999,-0.5381594955848625,-0.10973439461341722,0.19643445058955614,1.0679208015934043,0.18394102848868915,1084.2631847403009,train,marg,2,0.38,0.5900000000000001,20-40,0.4829985069101653
1825,102.25220674046297,-0.4930408816304164,-0.09179728565787282,0.29349227580283815,1.0740705593098987,0.27325232337753486,7009.602181375375,train,marg,2,0.38,0.5900000000000001,40-60,0.4829985069101653
2034,198.8676332161424,-0.4686502186650296,-0.12018974364132498,0.2932436044781657,1.0026055174330863,0.29248153873014837,20815.701627656315,train,marg,2,0.38,0.5900000000000001,60-80,0.4829985069101653
1497,662.5563245767769,-0.36890160654354587,-0.09002852704768347,0.4817390732334395,0.9510401469191283,0.5065391558852922,145012.20498047955,train,marg,2,0.38,0.5900000000000001,80-100,0.4829985069101653
884,255.70083427719075,-0.4479519289665807,-0.29077236940619344,0.19404107230874076,0.5971984245663231,0.3249189286620282,235.85776811139039,train,marg,3,0.5900000000000001,0.789,0-20,0.6825045581317158
1048,240.77445,-0.44994007038001876,-0.3050078309634483,0.1916847447796174,0.5883636200192618,0.32579299307007126,1495.1340369470588,train,marg,3,0.5900000000000001,0.789,20-40,0.6825045581317158
1449,198.04416,-0.4760301959865544,-0.30740251016814807,0.14949693535305184,0.6180693002918016,0.24187730288896672,2508.493243629242,train,marg,3,0.5900000000000001,0.789,40-60,0.6825045581317158
2135,232.22222100000002,-0.517201119332241,-0.3139771009781097,0.08382753065458183,0.6584961304728214,0.12730147798194497,12366.264326367926,train,marg,3,0.5900000000000001,0.789,60-80,0.6825045581317158
2373,821.3478607500001,-0.4403999213623726,-0.3139771009781097,0.2061781860676427,0.5677119888209353,0.3631739158721102,130773.23767262409,train,marg,3,0.5900000000000001,0.789,80-100,0.6825045581317158
3046,13.704815535999995,-0.9551121431286689,-1.1591263782577117,0.8604794505083495,9.811647101446278,0.0876997961312236,3201.0194034954275,train,marg,0,0.001,0.2,0-20,0.10067054184069443
2121,16.93483398,-0.980799240979452,-1.1601506178264385,0.6596248494551382,6.6640817473842855,0.09898210653163839,12725.369118346805,train,marg,0,0.001,0.2,20-40,0.10067054184069443
1511,45.60980000000001,-0.9360299492629097,-1.1614473634853806,0.6238853627979059,5.3162399737926105,0.11735462768299856,35491.518104495735,train,marg,0,0.001,0.2,40-60,0.10067054184069443
944,94.92662104250007,-0.8795338593356093,-1.1633916975934553,0.990879596266906,5.7504963177198745,0.17231201300200102,41412.53097376115,train,marg,0,0.001,0.2,60-80,0.10067054184069443
276,236.28807631550006,-0.8006743522791754,-1.1648879694634746,0.9081517167818741,3.8249812370511562,0.2374264500920814,107751.88485006925,train,marg,0,0.001,0.2,80-100,0.10067054184069443
456,238.73570097899892,-0.6149769892837679,-0.6101353230736306,0.051447277234625714,0.2417433306038094,0.2128177729086645,47.50523630466463,train,marg,4,0.789,0.9990000000000001,0-20,0.9078758955049763
860,310.66150543849983,-0.6178266027990684,-0.576014532328609,0.020467351391185308,0.31653290377886395,0.06466105465447661,-354.65538629544886,train,marg,4,0.789,0.9990000000000001,20-40,0.9078758955049763
1169,326.6582676,-0.611157745363621,-0.5777501607494617,0.0357424961377697,0.2885905446467363,0.12385193070522145,167.371973411314,train,marg,4,0.789,0.9990000000000001,40-60,0.9078758955049763
1659,485.12335853676626,-0.6151670438225165,-0.5843723941346014,0.034844671767633374,0.28261969551307764,0.12329173203719983,5638.76818208162,train,marg,4,0.789,0.9990000000000001,60-80,0.9078758955049763
3706,850.0778651945001,-0.612296458070075,-0.5826670859806491,0.045041547784833096,0.25422496759307905,0.1771720071843144,59041.05898110932,train,marg,4,0.789,0.9990000000000001,80-100,0.9078758955049763
1560,47.48277452,-0.5129092545344149,0.0581128874216487,0.759543679176825,1.7953485979427166,0.42306195022358517,1233.1937916984407,train,marg,1,0.2,0.38,0-20,0.29523302018094094
1995,44.4,-0.624109968403024,-1.1743648175350774,0.4351667542666622,1.7186833727308908,0.25319774495473635,4224.817511731932,train,marg,1,0.2,0.38,20-40,0.29523302018094094
