design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
copy_all,0.0,10207.71,0.1319,0.479,-3.199,-0.895
copy_all,10.0,10130.33,0.1309,0.479,-3.199,-0.895
copy_all,30.0,9975.57,0.1289,0.479,-3.199,-0.895
kelly@2,0.0,-953.73,-0.0129,-0.073,-2.85,0.765
kelly@2,10.0,-1027.61,-0.0139,-0.073,-2.85,0.765
kelly@2,30.0,-1175.37,-0.0159,-0.073,-2.85,0.765
tier4@2-0,0.0,-13712.93,-0.2112,-1.217,-2.942,-0.242
tier4@2-0,10.0,-13777.85,-0.2122,-1.217,-2.942,-0.242
tier4@2-0,30.0,-13907.69,-0.2142,-1.217,-2.942,-0.242
uniform@0.5,0.0,6581.08,0.0775,0.299,-3.192,-0.844
uniform@0.5,10.0,6496.12,0.0765,0.299,-3.192,-0.844
uniform@0.5,30.0,6326.2,0.0745,0.299,-3.192,-0.844
exposure_1,0.0,14859.78,0.2067,1.128,-2.527,1.925
exposure_1,10.0,14787.88,0.2057,1.128,-2.527,1.925
exposure_1,30.0,14644.07,0.2037,1.128,-2.527,1.925
exposure_0.8,0.0,32097.11,0.4199,1.783,-2.119,2.177
exposure_0.8,10.0,32020.68,0.4189,1.783,-2.119,2.177
exposure_0.8,30.0,31867.82,0.4169,1.783,-2.119,2.177
exposure_0.5,0.0,26044.5,0.3309,1.396,-2.287,1.824
exposure_0.5,10.0,25965.79,0.3299,1.396,-2.287,1.824
exposure_0.5,30.0,25808.38,0.3279,1.396,-2.287,1.824
exposure_0.2,0.0,18565.22,0.2441,2.268,-1.821,1.961
exposure_0.2,10.0,18489.18,0.2431,2.268,-1.821,1.961
exposure_0.2,30.0,18337.09,0.2411,2.268,-1.821,1.961
exposure_top80,0.0,9740.35,0.1269,0.505,-3.34,-1.228
exposure_top80,10.0,9663.57,0.1259,0.505,-3.34,-1.228
exposure_top80,30.0,9510.0,0.1239,0.505,-3.34,-1.228
exposure_top50,0.0,9891.4,0.1068,0.683,-3.468,-0.952
exposure_top50,10.0,9798.81,0.1058,0.683,-3.468,-0.952
exposure_top50,30.0,9613.65,0.1038,0.683,-3.468,-0.952
exposure_top20,0.0,6990.75,0.0856,1.237,-4.951,1.179
exposure_top20,10.0,6909.07,0.0846,1.237,-4.951,1.179
exposure_top20,30.0,6745.72,0.0826,1.237,-4.951,1.179
