design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
copy_all,0.0,687.99,0.0286,0.23,-4.516,2.189
copy_all,10.0,663.91,0.0276,0.23,-4.516,2.189
copy_all,30.0,615.76,0.0256,0.23,-4.516,2.189
kelly@2,0.0,832.58,0.0313,0.256,-4.41,2.287
kelly@2,10.0,806.0,0.0303,0.256,-4.41,2.287
kelly@2,30.0,752.84,0.0283,0.256,-4.41,2.287
tier4@2-0.25,0.0,198.21,0.0074,0.06,-4.572,2.017
tier4@2-0.25,10.0,171.52,0.0064,0.06,-4.572,2.017
tier4@2-0.25,30.0,118.13,0.0044,0.06,-4.572,2.017
uniform@0.5,0.0,343.99,0.0286,0.23,-4.516,2.189
uniform@0.5,10.0,331.96,0.0276,0.23,-4.516,2.189
uniform@0.5,30.0,307.88,0.0256,0.23,-4.516,2.189
exposure_1,0.0,392.12,0.0178,0.168,-4.608,1.638
exposure_1,10.0,370.04,0.0168,0.168,-4.608,1.638
exposure_1,30.0,325.89,0.0148,0.168,-4.608,1.638
exposure_0.8,0.0,225.3,0.0109,0.108,-4.317,1.113
exposure_0.8,10.0,204.55,0.0099,0.108,-4.317,1.113
exposure_0.8,30.0,163.06,0.0079,0.108,-4.317,1.113
exposure_0.5,0.0,428.56,0.0232,0.248,-2.832,2.225
exposure_0.5,10.0,410.06,0.0222,0.248,-2.832,2.225
exposure_0.5,30.0,373.07,0.0202,0.248,-2.832,2.225
exposure_0.2,0.0,-151.65,-0.0113,-0.14,-3.862,3.379
exposure_0.2,10.0,-165.07,-0.0123,-0.14,-3.862,3.379
exposure_0.2,30.0,-191.91,-0.0143,-0.14,-3.862,3.379
exposure_top80,0.0,747.27,0.0316,0.263,-4.856,1.576
exposure_top80,10.0,723.65,0.0306,0.263,-4.856,1.576
exposure_top80,30.0,676.42,0.0286,0.263,-4.856,1.576
exposure_top50,0.0,763.82,0.0349,0.308,-4.822,0.178
exposure_top50,10.0,741.93,0.0339,0.308,-4.822,0.178
exposure_top50,30.0,698.16,0.0319,0.308,-4.822,0.178
exposure_top20,0.0,837.84,0.0494,0.508,-4.057,3.648
exposure_top20,10.0,820.88,0.0484,0.508,-4.057,3.648
exposure_top20,30.0,786.94,0.0464,0.508,-4.057,3.648
