design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
copy_all,0.0,182570.66,0.0859,0.567,-2.412,1.886
copy_all,10.0,180445.83,0.0849,0.567,-2.412,1.886
copy_all,30.0,176196.18,0.0829,0.567,-2.412,1.886
kelly@2,0.0,190229.49,0.0978,0.629,-2.409,2.043
kelly@2,10.0,188283.6,0.0968,0.629,-2.409,2.043
kelly@2,30.0,184391.81,0.0948,0.629,-2.409,2.043
tier5@2-0,0.0,233330.39,0.1018,0.678,-3.002,1.201
tier5@2-0,10.0,231039.32,0.1008,0.678,-3.002,1.201
tier5@2-0,30.0,226457.18,0.0988,0.678,-3.002,1.201
uniform@0.5,0.0,91285.33,0.0859,0.567,-2.412,1.886
uniform@0.5,10.0,90222.92,0.0849,0.567,-2.412,1.886
uniform@0.5,30.0,88098.09,0.0829,0.567,-2.412,1.886
exposure_1,0.0,172306.37,0.1233,1.045,-2.75,1.597
exposure_1,10.0,170908.41,0.1223,1.045,-2.75,1.597
exposure_1,30.0,168112.47,0.1203,1.045,-2.75,1.597
exposure_0.8,0.0,185369.7,0.1573,1.598,-2.017,2.247
exposure_0.8,10.0,184190.91,0.1563,1.598,-2.017,2.247
exposure_0.8,30.0,181833.32,0.1543,1.598,-2.017,2.247
exposure_0.5,0.0,151255.69,0.1803,1.609,-0.655,2.498
exposure_0.5,10.0,150416.88,0.1793,1.609,-0.655,2.498
exposure_0.5,30.0,148739.24,0.1773,1.609,-0.655,2.498
exposure_0.2,0.0,78420.8,0.1884,3.328,-0.297,2.783
exposure_0.2,10.0,78004.63,0.1874,3.328,-0.297,2.783
exposure_0.2,30.0,77172.27,0.1854,3.328,-0.297,2.783
exposure_top80,0.0,187121.76,0.0899,0.629,-2.852,0.903
exposure_top80,10.0,185041.25,0.0889,0.629,-2.852,0.903
exposure_top80,30.0,180880.25,0.0869,0.629,-2.852,0.903
exposure_top50,0.0,200415.94,0.1127,0.969,-3.245,0.943
exposure_top50,10.0,198638.2,0.1117,0.969,-3.245,0.943
exposure_top50,30.0,195082.71,0.1097,0.969,-3.245,0.943
exposure_top20,0.0,197998.92,0.2075,2.145,-1.146,2.41
exposure_top20,10.0,197044.53,0.2065,2.145,-1.146,2.41
exposure_top20,30.0,195135.76,0.2045,2.145,-1.146,2.41
