signal,presence_train,boot_mean_ic,boot_ci_lo,boot_ci_hi,significant,IC_train,IC_val,IC_test,|IC_train|,spearman_price,wb_ic_pnl,wb_ic_roi
sig_exp_usdc,1.0,0.15894541093194423,0.15076644819547882,0.16675857046064296,True,0.1949458242379908,0.08002687660325107,0.030235118798911602,0.1949458242379908,0.574331008228624,0.009897539877645892,0.04737600229115983
sig_exp_log,1.0,0.15894587324314927,0.15076701347119423,0.16675921758096904,True,0.19494572719901723,0.08002847254037956,0.03023636357715499,0.19494572719901723,0.5743311780625318,0.009897516648493572,0.047375739075095125
sig_exp_marg,1.0,0.14858557057946173,0.138781335873137,0.15654865530758877,True,0.18325804349657246,0.06977586738406043,-0.0007045827354416031,0.18325804349657246,0.7042586012810816,-0.07958702983874348,-0.008325367266835401
sig_exp_thr_0.5,0.3205666595789921,0.13238303712677674,0.12248318800786094,0.14126640410958455,True,0.1656874326466598,0.04727710131224099,0.057774651848099774,0.1656874326466598,0.4629931051732127,-0.0162700964023783,-0.038729971387456215
sig_exp_wt_minmax,0.9979534339783117,0.1146316484321355,0.10559758991168809,0.12332880370881445,True,0.15963372739567824,0.019443597407271196,-0.008260252847490381,0.15963372739567824,0.5594336594635305,-0.034101743159414284,-0.011089092749347095
sig_exp_thr_0.8,0.46409206889219645,0.11577105234757362,0.10692176872863043,0.12449252192181008,True,0.15279039924871246,0.03463705142143596,0.009196792401260782,0.15279039924871246,0.4562206882133552,-0.00014518975054716413,-0.009468272052099044
sig_exp_thr_0.2,0.18036359770359345,0.10121556766539248,0.09177590934676748,0.11012279800840831,True,0.11620463091290699,0.0531872032355527,0.05634324517313454,0.11620463091290699,0.35756494867042127,-0.027337414428505125,-0.054098402566989424
sig_exp_top_0.2,0.20292898150116948,0.08834761761544606,0.07830473646484136,0.09846880279459327,True,0.1155458801775342,0.030941209096558436,0.06374093268499183,0.1155458801775342,0.3432400588946421,-0.029914996441424684,-0.022504311828171284
sig_exp_wt_rank,0.9980065915373166,0.06753219719843437,0.058730432520207564,0.0767818747208223,True,0.08958394084293517,0.01972961228929204,0.037575928752129256,0.08958394084293517,0.44495858831539287,-0.059572622284793555,-0.0392664913191253
sig_exp_marg_wt,0.9980065915373166,0.062431589294049815,0.05266069275172932,0.07102814141332703,True,0.07741193467310853,0.026874271121520844,0.0144891676826352,0.07741193467310853,0.4902929157642448,-0.08518398910007202,-0.028184676593734657
sig_exp_top_0.5,0.5011163087391027,0.05631714267041425,0.048138237887037465,0.06435953680502379,True,0.06755418133503308,0.02726541931828707,0.027793188878580503,0.06755418133503308,0.39194911609998717,-0.05065646704558732,-0.030046970015873194
sig_exp_top_0.8,0.8003667871571337,0.008939649242929167,0.00157505785237027,0.01607053476795419,True,0.021529862319268966,-0.023643890335607584,-0.01509461477477458,0.021529862319268966,0.2893693520038055,-0.04058252623018692,-0.0178929459154275
sig_exp_pos,1.0,-0.010550102333390545,-0.017712371569002253,-0.002444779402334052,True,0.004677321234180922,-0.04185465811466908,-0.0010984491931392447,0.004677321234180922,-0.24975668851711305,0.024422102953503087,0.03292137629682487
