signal,presence_train,boot_mean_ic,boot_ci_lo,boot_ci_hi,significant,IC_train,IC_val,IC_test,|IC_train|,spearman_price,wb_ic_pnl,wb_ic_roi
sig_exp_marg,1.0,-0.04786646886132192,-0.05299087271688848,-0.042723481681661686,True,-0.09119001104403986,-0.044134596559488884,-0.04722794936120325,0.09119001104403986,0.4495527266800535,0.002845079525732396,-0.10774791415883696
sig_exp_marg_wt,0.9987681884671645,-0.04291196210325974,-0.04743972524347064,-0.037712264987813965,True,-0.06917888316115707,-0.059350826344903566,-0.06194517542669043,0.06917888316115707,0.41872254575982587,-0.019534381212776612,-0.07981663932839103
sig_exp_top_0.8,0.7998922164908769,-0.03277132424830894,-0.037797371032006435,-0.027324482140478695,True,-0.05470186773943064,-0.03446678299563078,-0.017320686261870943,0.05470186773943064,0.2791831892451541,0.009725917359105074,-0.05328697471003266
sig_exp_log,1.0,-0.004665195871984251,-0.00942383698999487,0.0004313110270640757,False,-0.050752162308497085,0.01034523389200868,-0.0076524171482704375,0.050752162308497085,0.4154303917575383,0.08957212570273293,-0.0786013310054181
sig_exp_usdc,1.0,-0.004664790749074442,-0.009423428617445061,0.00043166099834228324,False,-0.050751403769510095,0.01034526943369959,-0.0076523572811805045,0.050751403769510095,0.415429976013747,0.08957256419669506,-0.07860084273042603
sig_exp_wt_rank,0.9987219955346832,-0.016089349908885938,-0.020880392694346266,-0.01093720350782747,True,-0.04554011850295693,-0.022887930167436288,-0.01405583067876114,0.04554011850295693,0.42767160436161566,0.06029798508653926,-0.07015889961593494
sig_exp_pos,1.0,-0.018319232944847105,-0.023354866812181067,-0.01299044116065637,True,-0.04373402771012053,0.024754206716525947,0.02285339580280941,0.04373402771012053,0.04460686026449746,0.1003115753268071,-0.05505794077767899
sig_exp_thr_0.2,0.07307721918546463,0.0004009923405881487,-0.003577206154083134,0.004380491413227379,False,-0.03429313043428304,0.015190621586215355,0.012028527097724059,0.03429313043428304,0.26733563792715836,0.06642578930237406,-0.017549579668067448
sig_exp_wt_minmax,0.9986296096697206,0.0012705077607446547,-0.0033833751934547627,0.006238354766241355,False,-0.03418832346231073,-0.00030343052324006183,-0.007312667620430303,0.03418832346231073,0.42972596331002855,0.07593880559597503,-0.05778021383010171
sig_exp_top_0.5,0.5003772422819308,-0.012272669581318407,-0.017352964982306332,-0.006780610963993277,True,-0.032851160404675596,-0.024921238864086523,-0.007936799846284351,0.032851160404675596,0.3699076148814468,0.049805402833435895,-0.04964188849761983
sig_exp_thr_0.8,0.3104934944953422,0.05760962618652874,0.05284499802389866,0.06279327345466185,True,0.024020780599541245,0.07367235454212866,0.032520997076767,0.024020780599541245,0.33340057616033464,0.11995224553656765,0.019019012117760227
sig_exp_top_0.2,0.20061590576641775,0.01746927333428738,0.01286778793746798,0.021757477802483882,True,-0.01672759024269902,0.028201611933758284,0.019798320304335208,0.01672759024269902,0.3458144198591194,0.11295491845917816,-0.012851290559391017
sig_exp_thr_0.5,0.17040572792362768,0.017893499837737272,0.013495559499118752,0.022276404959361402,True,-0.014625700431113782,0.030402674722208537,0.023905529163244604,0.014625700431113782,0.31850511839336465,0.09828481443465958,-0.011295879061890904
