design,config,split,trades,pnl,roi_w,sharpe_daily,mean_used,peak_used
copy_all,copy_all,val,20436,19990.73,0.2314,0.882,8281.91,10000.0
kelly@2,kelly@2,val,20887,20672.38,0.2429,0.998,8290.09,10000.0
kelly@4,kelly@4,val,20887,20672.38,0.2429,0.998,8290.09,10000.0
kelly@8,kelly@8,val,20887,20672.38,0.2429,0.998,8290.09,10000.0
tier3@2-0,tier3@2-0,val,14794,32939.08,0.4455,0.968,8579.58,10000.0
tier3@2-0.25,tier3@2-0.25,val,21013,25438.93,0.3362,0.844,8233.64,10000.0
tier3@4-0,tier3@4-0,val,14794,32939.08,0.4455,0.968,8579.58,10000.0
tier3@4-0.25,tier3@4-0.25,val,21328,29616.84,0.3886,0.667,8219.13,10000.0
tier3@8-0,tier3@8-0,val,14794,32939.08,0.4455,0.968,8579.58,10000.0
tier3@8-0.25,tier3@8-0.25,val,21283,28022.28,0.3876,0.682,8214.9,10000.0
tier4@2-0,tier4@2-0,val,15606,36911.36,0.5208,1.184,8627.65,10000.0
tier4@2-0.25,tier4@2-0.25,val,21109,27882.4,0.3663,1.031,8247.08,10000.0
tier4@4-0,tier4@4-0,val,15606,36911.36,0.5208,1.184,8627.65,10000.0
tier4@4-0.25,tier4@4-0.25,val,21554,27694.79,0.3674,0.841,8241.63,10000.0
tier4@8-0,tier4@8-0,val,15606,36911.36,0.5208,1.184,8627.65,10000.0
tier4@8-0.25,tier4@8-0.25,val,21721,29784.74,0.3969,0.838,8236.15,10000.0
tier5@2-0,tier5@2-0,val,16981,33079.04,0.4643,1.05,8645.19,10000.0
tier5@2-0.25,tier5@2-0.25,val,21488,24955.93,0.3146,0.971,8251.84,10000.0
tier5@4-0,tier5@4-0,val,16981,33079.04,0.4643,1.05,8645.19,10000.0
tier5@4-0.25,tier5@4-0.25,val,21564,23945.2,0.3142,0.825,8256.43,10000.0
tier5@8-0,tier5@8-0,val,16981,33079.04,0.4643,1.05,8645.19,10000.0
tier5@8-0.25,tier5@8-0.25,val,21783,29875.13,0.3799,0.793,8242.14,10000.0
uniform@0.5,uniform@0.5,val,21800,17495.36,0.2228,0.94,7977.8,10000.0
uniform@1,uniform@1,val,20436,19990.73,0.2314,0.882,8281.91,10000.0
uniform@2,uniform@2,val,19754,1158.96,0.013,0.081,8472.35,10000.0
uniform@4,uniform@4,val,18886,2097.93,0.0228,0.194,8751.09,10000.0
exposure_1,frac=1,val,7588,13066.63,0.1362,1.031,8529.7,10000.0
exposure_0.8,frac=0.8,val,5417,4743.64,0.0455,0.52,8362.28,10000.0
exposure_0.5,frac=0.5,val,3516,9013.52,0.0895,0.986,7282.6,10000.0
exposure_0.2,frac=0.2,val,1771,11702.04,0.1268,1.445,6582.68,9999.99
exposure_top80,top=0.8,val,14644,19492.75,0.2306,0.959,8582.98,10000.0
exposure_top50,top=0.5,val,8580,12365.39,0.134,0.819,8463.28,10000.0
exposure_top20,top=0.2,val,4036,2016.22,0.0201,0.229,7289.54,9999.99
copy_all,copy_all,test,15953,10130.33,0.1309,0.479,3884.08,10000.0
kelly@2,kelly@2,test,16184,-1027.61,-0.0139,-0.073,3856.28,10000.0
tier4@2-0,tier4@2-0,test,12298,-13777.85,-0.2122,-1.217,3545.83,10000.0
uniform@0.5,uniform@0.5,test,17415,6496.12,0.0765,0.299,3467.8,10000.0
exposure_1,frac=1,test,4569,14787.88,0.2057,1.128,4969.2,10000.0
exposure_0.8,frac=0.8,test,3258,32020.68,0.4189,1.783,4552.9,10000.0
exposure_0.5,frac=0.5,test,2331,25965.79,0.3299,1.396,5009.09,9999.99
exposure_0.2,frac=0.2,test,1408,18489.18,0.2431,2.268,4653.29,9999.99
exposure_top80,top=0.8,test,10980,9663.57,0.1259,0.505,3873.27,10000.0
exposure_top50,top=0.5,test,6647,9798.81,0.1058,0.683,3535.53,10000.0
exposure_top20,top=0.2,test,2680,6909.07,0.0846,1.237,4457.98,10000.0
