design,config,split,trades,pnl,roi_w,sharpe_daily
copy_all,copy_all,val,10301,-1416.98,-0.0358,-0.426
kelly@2,kelly@2,val,10301,-1033.24,-0.0241,-0.279
kelly@4,kelly@4,val,10301,-1033.24,-0.0241,-0.279
kelly@8,kelly@8,val,10301,-1033.24,-0.0241,-0.279
tier3@2-0,tier3@2-0,val,6739,-3520.46,-0.0913,-0.745
tier3@2-0.25,tier3@2-0.25,val,10301,-3045.83,-0.0779,-0.631
tier3@4-0,tier3@4-0,val,6739,-3520.46,-0.0913,-0.745
tier3@4-0.25,tier3@4-0.25,val,10301,-3263.35,-0.0839,-0.649
tier3@8-0,tier3@8-0,val,6739,-3520.46,-0.0913,-0.745
tier3@8-0.25,tier3@8-0.25,val,10301,-3384.93,-0.0873,-0.659
tier4@2-0,tier4@2-0,val,8443,-2864.89,-0.0678,-0.669
tier4@2-0.25,tier4@2-0.25,val,10301,-2506.67,-0.0597,-0.592
tier4@4-0,tier4@4-0,val,8443,-2864.89,-0.0678,-0.669
tier4@4-0.25,tier4@4-0.25,val,10301,-2666.87,-0.0633,-0.611
tier4@8-0,tier4@8-0,val,8443,-2864.89,-0.0678,-0.669
tier4@8-0.25,tier4@8-0.25,val,10301,-2760.45,-0.0654,-0.623
tier5@2-0,tier5@2-0,val,8955,-2897.26,-0.0706,-0.666
tier5@2-0.25,tier5@2-0.25,val,10301,-2564.38,-0.0626,-0.605
tier5@4-0,tier5@4-0,val,8955,-2897.26,-0.0706,-0.666
tier5@4-0.25,tier5@4-0.25,val,10301,-2718.75,-0.0663,-0.624
tier5@8-0,tier5@8-0,val,8955,-2897.26,-0.0706,-0.666
tier5@8-0.25,tier5@8-0.25,val,10301,-2805.49,-0.0684,-0.634
uniform@0.5,uniform@0.5,val,10301,-708.49,-0.0358,-0.426
uniform@1,uniform@1,val,10301,-1416.98,-0.0358,-0.426
uniform@2,uniform@2,val,10301,-3226.07,-0.0542,-0.536
uniform@4,uniform@4,val,10301,-6820.97,-0.079,-0.648
exposure_1,frac=1,val,7695,-1563.18,-0.0417,-0.543
exposure_0.8,frac=0.8,val,5786,-1441.72,-0.042,-0.552
exposure_0.5,frac=0.5,val,3708,-1210.19,-0.0402,-0.572
exposure_0.2,frac=0.2,val,1882,-371.51,-0.017,-0.222
exposure_top80,top=0.8,val,8416,-1478.18,-0.0383,-0.478
exposure_top50,top=0.5,val,5709,-1421.61,-0.0408,-0.532
exposure_top20,top=0.2,val,2942,-1612.36,-0.061,-0.827
copy_all,copy_all,test,6573,663.91,0.0276,0.23
kelly@2,kelly@2,test,6573,806.0,0.0303,0.256
tier4@2-0.25,tier4@2-0.25,test,6573,171.52,0.0064,0.06
uniform@0.5,uniform@0.5,test,6573,331.96,0.0276,0.23
exposure_1,frac=1,test,4924,370.04,0.0168,0.168
exposure_0.8,frac=0.8,test,3863,204.55,0.0099,0.108
exposure_0.5,frac=0.5,test,2558,410.06,0.0222,0.248
exposure_0.2,frac=0.2,test,1375,-165.07,-0.0123,-0.14
exposure_top80,top=0.8,test,5473,723.65,0.0306,0.263
exposure_top50,top=0.5,test,3805,741.93,0.0339,0.308
exposure_top20,top=0.2,test,2022,820.88,0.0484,0.508
