design,config,split,trades,pnl,roi_w,sharpe_daily
copy_all,copy_all,val,49306,41411.29,0.0169,0.435
kelly@2,kelly@2,val,49306,33693.71,0.0153,0.51
kelly@4,kelly@4,val,49306,33693.71,0.0153,0.51
kelly@8,kelly@8,val,49306,33693.71,0.0153,0.51
tier3@2-0,tier3@2-0,val,36431,59710.05,0.0244,0.611
tier3@2-0.25,tier3@2-0.25,val,49306,56472.7,0.023,0.43
tier3@4-0,tier3@4-0,val,36431,59710.05,0.0244,0.611
tier3@4-0.25,tier3@4-0.25,val,49306,58017.62,0.0236,0.421
tier3@8-0,tier3@8-0,val,36431,59710.05,0.0244,0.611
tier3@8-0.25,tier3@8-0.25,val,49306,58880.93,0.024,0.417
tier4@2-0,tier4@2-0,val,37453,98213.56,0.0418,0.918
tier4@2-0.25,tier4@2-0.25,val,49306,86619.32,0.0364,0.641
tier4@4-0,tier4@4-0,val,37453,98213.56,0.0418,0.918
tier4@4-0.25,tier4@4-0.25,val,49306,92084.25,0.0389,0.649
tier4@8-0,tier4@8-0,val,37453,98213.56,0.0418,0.918
tier4@8-0.25,tier4@8-0.25,val,49306,95080.77,0.0403,0.652
tier5@2-0,tier5@2-0,val,39682,106620.42,0.0477,1.047
tier5@2-0.25,tier5@2-0.25,val,49306,92955.77,0.0407,0.762
tier5@4-0,tier5@4-0,val,39682,106620.42,0.0477,1.047
tier5@4-0.25,tier5@4-0.25,val,49306,99419.48,0.044,0.782
tier5@8-0,tier5@8-0,val,39682,106620.42,0.0477,1.047
tier5@8-0.25,tier5@8-0.25,val,49306,102911.84,0.0458,0.791
uniform@0.5,uniform@0.5,val,49306,20705.64,0.0169,0.435
uniform@1,uniform@1,val,49306,41411.29,0.0169,0.435
uniform@2,uniform@2,val,49306,27209.36,0.0066,0.178
uniform@4,uniform@4,val,49306,-59838.26,-0.0087,-0.163
exposure_1,frac=1,val,13915,103243.76,0.0562,1.92
exposure_0.8,frac=0.8,val,9780,51926.04,0.0307,1.539
exposure_0.5,frac=0.5,val,6448,46534.8,0.0298,1.945
exposure_0.2,frac=0.2,val,3161,16485.83,0.0153,1.179
exposure_top80,top=0.8,val,37203,36416.67,0.0151,0.43
exposure_top50,top=0.5,val,21752,12080.61,0.0055,0.2
exposure_top20,top=0.2,val,7851,38444.64,0.0239,1.119
copy_all,copy_all,test,48653,180445.83,0.0849,0.567
kelly@2,kelly@2,test,48653,188283.6,0.0968,0.629
tier5@2-0,tier5@2-0,test,42226,231039.32,0.1008,0.678
uniform@0.5,uniform@0.5,test,48653,90222.92,0.0849,0.567
exposure_1,frac=1,test,9514,170908.41,0.1223,1.045
exposure_0.8,frac=0.8,test,6750,184190.91,0.1563,1.598
exposure_0.5,frac=0.5,test,4370,150416.88,0.1793,1.609
exposure_0.2,frac=0.2,test,2542,78004.63,0.1874,3.328
exposure_top80,top=0.8,test,34972,185041.25,0.0889,0.629
exposure_top50,top=0.5,test,19367,198638.2,0.1117,0.969
exposure_top20,top=0.2,test,5893,197044.53,0.2065,2.145
