wallet,frac,threshold
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,0.2,211.66222621765658
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,0.5,63.447300000000006
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,0.8,14.268600000000003
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,1.0,7.941319919999995
0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4,0.2,520.2213837638377
0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4,0.5,520.2213837638377
0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4,0.8,417.85547579999997
0x0a7ed19909e9b4c6cd0fc1d59c1d481415a1fce4,1.0,417.85547579999997
0x0af81897d46778069b55d19a1c748b2a4abf9454,0.2,84.5439417534207
0x0af81897d46778069b55d19a1c748b2a4abf9454,0.5,84.5439417534207
0x0af81897d46778069b55d19a1c748b2a4abf9454,0.8,44.99999899999999
0x0af81897d46778069b55d19a1c748b2a4abf9454,1.0,9.999998999999999
0x0cb10c40b0776e9ee8cef970af85724654dda76c,0.2,445.00692064
0x0cb10c40b0776e9ee8cef970af85724654dda76c,0.5,87.80206000000001
0x0cb10c40b0776e9ee8cef970af85724654dda76c,0.8,66.0
0x0cb10c40b0776e9ee8cef970af85724654dda76c,1.0,40.0
0x0e3226217752d7247c67b870b72b99ba3e20535b,0.2,602.9428610399999
0x0e3226217752d7247c67b870b72b99ba3e20535b,0.5,376.279826406
0x0e3226217752d7247c67b870b72b99ba3e20535b,0.8,276.91459712
0x0e3226217752d7247c67b870b72b99ba3e20535b,1.0,94.47
0x0f779044b20ce15133bbde2777ab4fe56003a9a9,0.2,109.49600000000001
0x0f779044b20ce15133bbde2777ab4fe56003a9a9,0.5,49.35535888235295
0x0f779044b20ce15133bbde2777ab4fe56003a9a9,0.8,22.741600000000002
0x0f779044b20ce15133bbde2777ab4fe56003a9a9,1.0,5.130000000000001
0x0fe90c22827e72c7aef24bdc52b6392943fd4fd9,0.2,1863.2343033500001
0x0fe90c22827e72c7aef24bdc52b6392943fd4fd9,0.5,1351.5326246099999
0x0fe90c22827e72c7aef24bdc52b6392943fd4fd9,0.8,1001.26131123
0x0fe90c22827e72c7aef24bdc52b6392943fd4fd9,1.0,117.26353748999998
0x183a2a0b034877e761af0778da5134bebc37d514,0.2,12189.909405850005
0x183a2a0b034877e761af0778da5134bebc37d514,0.5,8743.408985480002
0x183a2a0b034877e761af0778da5134bebc37d514,0.8,6339.6919845
0x183a2a0b034877e761af0778da5134bebc37d514,1.0,486.98400127920195
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,0.2,2614.501075439999
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,0.5,81.89999999999993
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,0.8,80.60000000000007
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,1.0,64.41528912
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,0.2,5763.513290760001
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,0.5,1692.0027940100001
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,0.8,582.7742555999998
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,1.0,191.646880686
0x23c03965864fb45d44a897760d349cda5e7e564c,0.2,466.3867972920822
0x23c03965864fb45d44a897760d349cda5e7e564c,0.5,462.94917702000004
0x23c03965864fb45d44a897760d349cda5e7e564c,0.8,176.13337714495862
0x23c03965864fb45d44a897760d349cda5e7e564c,1.0,99.18426420000002
0x2625e0f62524fea18c26edd95877ce1710c8b2f8,0.2,2023.67738236
0x2625e0f62524fea18c26edd95877ce1710c8b2f8,0.5,726.9900000000001
0x2625e0f62524fea18c26edd95877ce1710c8b2f8,0.8,721.4569534984207
0x2625e0f62524fea18c26edd95877ce1710c8b2f8,1.0,98.71600000000001
0x2853240a0f4e9e11a949a5cfa6e0fe953a293482,0.2,675.88245582
0x2853240a0f4e9e11a949a5cfa6e0fe953a293482,0.5,493.35725582000003
0x2853240a0f4e9e11a949a5cfa6e0fe953a293482,0.8,194.8512
0x2853240a0f4e9e11a949a5cfa6e0fe953a293482,1.0,108.16030704
0x297a3768fab6559281d89d217b6b7be9338292e0,0.2,304.89876624
0x297a3768fab6559281d89d217b6b7be9338292e0,0.5,184.57129187698916
0x297a3768fab6559281d89d217b6b7be9338292e0,0.8,69.06956007127273
0x297a3768fab6559281d89d217b6b7be9338292e0,1.0,25.703225760000002
0x2ada299aaaf27c806424ec6dcb0c169d1a9c2f28,0.2,22923.35482367999
0x2ada299aaaf27c806424ec6dcb0c169d1a9c2f28,0.5,14188.47338637333
0x2ada299aaaf27c806424ec6dcb0c169d1a9c2f28,0.8,4435.5897267
0x2ada299aaaf27c806424ec6dcb0c169d1a9c2f28,1.0,2990.30098068
0x2ff1797eebc8aa658ca38c0ae55246c1cea072eb,0.2,1277.2758855788516
0x2ff1797eebc8aa658ca38c0ae55246c1cea072eb,0.5,1277.2758855788516
0x2ff1797eebc8aa658ca38c0ae55246c1cea072eb,0.8,1277.2758855788516
0x2ff1797eebc8aa658ca38c0ae55246c1cea072eb,1.0,1271.7766764367896
0x3078db4a9737866b4d6529f655025b3a20f80389,0.2,2494.7560928399985
0x3078db4a9737866b4d6529f655025b3a20f80389,0.5,1992.5551753200018
0x3078db4a9737866b4d6529f655025b3a20f80389,0.8,1683.5763626250011
0x3078db4a9737866b4d6529f655025b3a20f80389,1.0,1128.6380588160005
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.2,142.64093155795945
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.5,70.59890624894777
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.8,29.419394065677725
