idea,signal,split,fraction,threshold,trades,firing_rate,pnl,roi_w,pnl_per_trade
BigWinnerMarketCharacterization,sig_mkt_price,val,,,144683,1.0,-38140.73,-0.0796,-0.2636
BigWinnerMarketCharacterization,sig_mkt_price,test,,,170276,1.0,22264.81,0.0381,0.1308
BigWinnerMarketCharacterization,sig_mkt_price,val,0.5,0.0003,101400,0.7008,-37615.99,-0.0787,-0.371
BigWinnerMarketCharacterization,sig_mkt_price,test,0.5,0.0003,153823,0.9034,22449.24,0.0384,0.1459
BigWinnerMarketCharacterization,sig_mkt_price,val,0.25,0.4776,89031,0.6154,-34661.05,-0.0739,-0.3893
BigWinnerMarketCharacterization,sig_mkt_price,test,0.25,0.4776,138608,0.814,20379.82,0.0353,0.147
BigWinnerMarketCharacterization,sig_mkt_price,val,0.1,0.8044,63195,0.4368,2614.34,0.0072,0.0414
BigWinnerMarketCharacterization,sig_mkt_price,test,0.1,0.8044,122971,0.7222,20031.57,0.0373,0.1629
BigWinnerMarketCharacterization,sig_mkt_notional_before,val,,,144683,1.0,-38140.73,-0.0796,-0.2636
BigWinnerMarketCharacterization,sig_mkt_notional_before,test,,,170276,1.0,22264.81,0.0381,0.1308
BigWinnerMarketCharacterization,sig_mkt_notional_before,val,0.5,-0.0006,129343,0.894,-10680.64,-0.0346,-0.0826
BigWinnerMarketCharacterization,sig_mkt_notional_before,test,0.5,-0.0006,154679,0.9084,350.61,0.0008,0.0023
BigWinnerMarketCharacterization,sig_mkt_notional_before,val,0.25,0.5003,76018,0.5254,-13824.32,-0.117,-0.1819
BigWinnerMarketCharacterization,sig_mkt_notional_before,test,0.25,0.5003,122502,0.7194,-11359.03,-0.0731,-0.0927
BigWinnerMarketCharacterization,sig_mkt_notional_before,val,0.1,0.8,22128,0.1529,443.21,0.0185,0.02
BigWinnerMarketCharacterization,sig_mkt_notional_before,test,0.1,0.8,29274,0.1719,-152.74,-0.0096,-0.0052
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,val,,,144683,1.0,-38140.73,-0.0796,-0.2636
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,test,,,170276,1.0,22264.81,0.0381,0.1308
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,val,0.5,-0.0229,76811,0.5309,18281.95,0.0802,0.238
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,test,0.5,-0.0229,97487,0.5725,12274.82,0.0506,0.1259
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,val,0.25,0.668,11327,0.0783,8711.59,0.1483,0.7691
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,test,0.25,0.668,3118,0.0183,4152.8,0.1232,1.3319
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,val,0.1,0.668,11327,0.0783,8711.59,0.1483,0.7691
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,test,0.1,0.668,3118,0.0183,4152.8,0.1232,1.3319
CopyCrowdEntryTiming,sig_ccw_n_co,val,,,144683,1.0,-38140.73,-0.0796,-0.2636
CopyCrowdEntryTiming,sig_ccw_n_co,test,,,170276,1.0,22264.81,0.0381,0.1308
CopyCrowdEntryTiming,sig_ccw_n_co,val,0.5,-0.1024,95588,0.6607,-21551.05,-0.0623,-0.2255
CopyCrowdEntryTiming,sig_ccw_n_co,test,0.5,-0.1024,106225,0.6238,18092.17,0.0489,0.1703
