idea,signal,IC_roi_res_train,IC_roi_res_val,IC_roi_res_test,boot_mean_roi_res,boot_ci_roi_res,IC_copyable_roi_train,IC_copyable_roi_val,IC_copyable_roi_test,boot_mean_copyable_roi,boot_ci_copyable_roi,IC_copyable_pnl_train,IC_copyable_pnl_val,IC_copyable_pnl_test,boot_mean_copyable_pnl,boot_ci_copyable_pnl,|IC_roi_res_train|
BigWinnerMarketCharacterization,sig_mkt_age_h,0.18374421495418522,-0.041078031108197084,0.10292633156795894,0.06438422959505466,"[0.0621, 0.0668]",0.051400267259058524,-0.219223470180807,-0.08786858554724133,-0.0694668409917997,"[-0.0723, -0.0663]",0.10161429327202884,-0.13869400906106258,-0.032632445385554626,-0.032903674298456136,"[-0.0353, -0.0306]",0.18374421495418522
BigWinnerMarketCharacterization,sig_mkt_price,-0.13115342926489382,-0.24897964603856962,0.37961086943552763,-0.04804061873377886,"[-0.0498, -0.0465]",0.5707228998238264,0.503257769941941,0.5055280494123053,0.6169438950229839,"[0.6147, 0.6195]",0.2680811836708753,0.41636524350597615,0.23319093502875643,0.3372554651993424,"[0.3350, 0.3395]",0.13115342926489382
BigWinnerMarketCharacterization,sig_mkt_trades_before,-0.10890815476655252,-0.18230355205532717,-0.04448314774235908,-0.18955105278486944,"[-0.1916, -0.1876]",-0.13991555008400125,-0.15830788079784008,-0.1016447864069833,-0.22011011329602248,"[-0.2225, -0.2177]",-0.2904367218476826,-0.1238190767372167,-0.01895458724008534,-0.3145188672290799,"[-0.3165, -0.3125]",0.10890815476655252
BigWinnerMarketCharacterization,sig_mkt_pmom_6h,-0.10488239366336968,-0.14674350966404093,0.22468867626182418,-0.024157788325998474,"[-0.0266, -0.0220]",0.18045839513024364,0.4549096921063781,0.48533169372779195,0.2766290138936073,"[0.2732, 0.2796]",0.03279041638642728,0.3497915479763721,0.38003758434265117,0.15315734632661337,"[0.1505, 0.1553]",0.10488239366336968
BigWinnerMarketCharacterization,sig_mkt_notional_before,-0.07739829633518307,-0.02188750421488046,-0.09328160119678229,-0.15601726387681322,"[-0.1580, -0.1543]",-0.23620338009125522,-0.20957937170357202,-0.16411462274565755,-0.287752501002098,"[-0.2899, -0.2857]",-0.29897652614690406,-0.12001872971793207,-0.053896131542688124,-0.31703136907080925,"[-0.3190, -0.3151]",0.07739829633518307
BigWinnerMarketCharacterization,sig_mkt_n_outcomes,,-0.0028904460380045445,,-0.0018984579023385109,"[-0.0049, 0.0000]",,,,,"[nan, nan]",,0.00024052216798835143,,-0.0010970528865305175,"[-0.0028, 0.0000]",
CopyCrowdEntryTiming,sig_ccw_first,0.04794468408467474,-0.08426746976996442,-0.22007704598437175,0.028929576786652162,"[0.0267, 0.0312]",0.013385600475921714,-0.17515684850823937,0.10700119985998496,-0.012340660366813803,"[-0.0146, -0.0095]",0.17570707131745658,-0.0998921178791918,0.11891497161141994,0.10547628242145264,"[0.1034, 0.1075]",0.04794468408467474
CopyCrowdEntryTiming,sig_ccw_n_cond,0.04599011564634155,-0.08715179521852578,0.07777534881863121,-0.014546206576273608,"[-0.0167, -0.0127]",-0.027706960053740137,0.02490057864854053,-0.07135778318111219,-0.052694344430273404,"[-0.0550, -0.0502]",-0.14702888203942038,0.03216629578017519,-0.05596784146228816,-0.13014751178834444,"[-0.1324, -0.1281]",0.04599011564634155
CopyCrowdEntryTiming,sig_ccw_n_co,0.014298966420007433,0.09915114503439912,0.16359984560987995,-0.01836108620189801,"[-0.0203, -0.0165]",-0.09929369348116773,0.18566622051665826,-0.056301433515394975,-0.11491030316622994,"[-0.1174, -0.1125]",-0.19236815136977667,0.12274883375270278,-0.06125601782381971,-0.16483644579432838,"[-0.1670, -0.1628]",0.014298966420007433
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,-0.005467232506711581,0.1927481969751866,0.2036273974079724,-0.0230785969625914,"[-0.0252, -0.0211]",-0.13290126468876312,0.26145928573439636,0.0023815157880837496,-0.1471518957623324,"[-0.1496, -0.1447]",-0.21266943898000648,0.16625412481858018,-0.07531126476755032,-0.18279387999533023,"[-0.1849, -0.1807]",0.005467232506711581
CopyWalletQualitySignals,sig_wal_copyable_roi,0.24526794739848704,0.3505953449228716,0.3094608697493729,0.23886086663272602,"[0.2363, 0.2412]",0.1248194720811729,-0.0352250591026613,0.018291762551285732,0.02685734535456104,"[0.0242, 0.0297]",0.22592438945007062,-0.029142796536685552,-0.0032579425527786143,0.15704480294373685,"[0.1546, 0.1595]",0.24526794739848704
CopyWalletQualitySignals,sig_wal_num_markets,0.12834167702019594,-0.03989083368117807,0.32907672460191195,0.08074540625435762,"[0.0787, 0.0828]",-0.19966648825835034,-0.15531556837431984,0.009451155223495215,-0.18426796965202982,"[-0.1866, -0.1817]",-0.0946083075583601,-0.01849140847532685,-0.008836948882730802,-0.08662148471090624,"[-0.0890, -0.0843]",0.12834167702019594
CopyWalletQualitySignals,sig_wal_copyable_pnl,0.08416595162109047,-0.010346381565878795,0.2359154880279222,-0.04373610840423509,"[-0.0457, -0.0419]",-0.2751457296370623,-0.12766718375840805,-0.025884415536308047,-0.33086469953121206,"[-0.3336, -0.3283]",-0.15119867842178092,-0.13371833753870854,-0.04857169825359655,-0.23571060180755893,"[-0.2377, -0.2338]",0.08416595162109047
CopyWalletQualitySignals,sig_wal_trade_count,0.07415645830546615,-0.06634362354502531,0.3522104346821349,-0.04741700792791251,"[-0.0494, -0.0454]",-0.31305972676813026,-0.17088650957585988,-0.0668010605835898,-0.3468861671125205,"[-0.3498, -0.3445]",-0.16979454172015956,-0.1649585233012681,-0.019675181510344475,-0.24262180291366153,"[-0.2446, -0.2406]",0.07415645830546615
CopyWalletQualitySignals,sig_wal_opening_roi,-0.06222242484176652,0.002186010516858608,-0.20510458424028963,-0.10555307678710912,"[-0.1078, -0.1032]",-0.1614058949070536,-0.04951594380311944,-0.026291110440854217,-0.1876128519746921,"[-0.1903, -0.1845]",-0.038859203942829997,-0.13443065325484205,0.0075605721739210275,-0.13871859438461984,"[-0.1411, -0.1364]",0.06222242484176652
CopyWalletQualitySignals,sig_wal_buy_roi,0.032112999948118594,-0.32648410486684476,-0.3028433956684402,-0.027978439942525576,"[-0.0302, -0.0258]",0.166652612300315,0.26447000244107643,0.12204015621221871,0.14532017909924888,"[0.1421, 0.1485]",0.16527217928568183,0.09859134619569032,0.08121493764669187,0.08436525168669402,"[0.0820, 0.0867]",0.032112999948118594
FadeReactiveSellFlow,sig_fsf_sell_6h_retail,-0.27430189896781587,-0.26288999145816666,0.3660189762957623,-0.24756359646074447,"[-0.2497, -0.2451]",-0.01116527638946362,-0.21172351709228265,0.2534147688533154,-0.038042478660425316,"[-0.0403, -0.0358]",-0.18447131834626698,-0.12387540062416562,-0.004209813587041165,-0.16610554234326383,"[-0.1684, -0.1636]",0.27430189896781587
FadeReactiveSellFlow,sig_fsf_sell_6h_both_sides,-0.10190057528238924,0.18618606162541168,0.3280826682160128,-0.10616736824340876,"[-0.1082, -0.1042]",-0.29179404261631353,0.2803214166285645,0.15272170087799775,-0.29148720046892934,"[-0.2937, -0.2893]",-0.35561239653826393,0.136113292519014,-0.03257571908448927,-0.3234475389680734,"[-0.3253, -0.3216]",0.10190057528238924
FadeReactiveSellFlow,sig_fsf_sell_6h_overseller,-0.09746228433143908,0.27758784637920453,0.37696479169067537,-0.0992199990152964,"[-0.1013, -0.0974]",-0.27110018541999326,0.2614570239176715,0.32588826249437436,-0.2746748988552405,"[-0.2768, -0.2726]",-0.32611203623841434,0.05334936517465538,0.03049344257305723,-0.29999686308613605,"[-0.3017, -0.2982]",0.09746228433143908
GamblerCapitulationSqueeze,sig_uwl_opp_gambler,0.021441829826227672,-0.02811018419516412,0.35549382502083954,0.08893311929165452,"[0.0874, 0.0905]",0.40343956975680084,0.1006339009126832,0.24081811293256056,0.4105866480871885,"[0.4084, 0.4132]",0.34903104131690954,0.1908632883940173,0.11237891342443293,0.37641272866643943,"[0.3745, 0.3784]",0.021441829826227672
GamblerCapitulationSqueeze,sig_uwl_opp_whale,-0.020782417995342552,-0.325120773174868,0.31580744015046885,0.012601839706811228,"[0.0105, 0.0146]",0.41409661015792726,-0.033068158992817835,0.034254339936654415,0.41259817968926576,"[0.4105, 0.4149]",0.29026670024552914,0.0708248960905844,0.05910468578226936,0.3034841069397933,"[0.3013, 0.3058]",0.020782417995342552
GamblerCapitulationSqueeze,sig_uwl_opp_retail,-0.01893226043021624,-0.12192364153134778,0.3986771224044448,0.06823556366764853,"[0.0665, 0.0700]",0.35337260217807537,0.3837429288176126,0.3675308420633765,0.42413240264803875,"[0.4216, 0.4266]",0.3029303589040191,0.3716799263615816,0.20395761566758056,0.3626020530281938,"[0.3605, 0.3647]",0.01893226043021624
FreshOppositeCrowdingFilter,sig_val_opp_flipper,-0.10199492732891396,-0.34117810323210196,-0.22784869409452702,-0.20278790402744096,"[-0.2051, -0.2005]",-0.28364612138648204,-0.1993521114486658,-0.2517434577087334,-0.32243435042151375,"[-0.3246, -0.3202]",-0.2671788650907873,-0.1229056587413554,-0.18167158028316233,-0.31907080954889305,"[-0.3210, -0.3171]",0.10199492732891396
FreshOppositeCrowdingFilter,sig_val_opp_both_sides,-0.09172945441075253,-0.11446707502684896,-0.19791743069244686,-0.18583349145999936,"[-0.1877, -0.1840]",-0.25567260632040606,-0.2808464917289411,-0.18548918466893338,-0.31955509408302746,"[-0.3218, -0.3175]",-0.3378441827994323,-0.23378791183074932,-0.1261686581106554,-0.36705912556920045,"[-0.3690, -0.3652]",0.09172945441075253
FreshOppositeCrowdingFilter,sig_val_opp_overseller,-0.05182191337140368,0.021260990860745895,-0.2606844773855481,-0.15151114870266888,"[-0.1532, -0.1496]",-0.32556964496101165,-0.2947711627917321,-0.3464466809457115,-0.3834224002822832,"[-0.3856, -0.3814]",-0.2878789587117406,-0.27293791651394234,-0.2825054558387633,-0.34372454697385707,"[-0.3457, -0.3419]",0.05182191337140368
UwlOppContrarian,sig_val_opp_retail,0.15315987622033933,-0.30497174195726334,0.10345130389597257,0.10443882440901756,"[0.1021, 0.1069]",0.28537166142205317,-0.13594705077642819,-0.15871047937540733,0.3012575568714104,"[0.2985, 0.3038]",0.16349484687331034,-0.07279472611541278,-0.17973048461259197,0.19388536075297874,"[0.1918, 0.1962]",0.15315987622033933
UwlOppContrarian,sig_val_opp_gambler,0.04293207457489576,-0.11902471421155268,0.12743081280835186,-0.03429837797460877,"[-0.0363, -0.0322]",0.002589293737478975,0.08285789657239136,-0.02888299068383578,-0.0480265427362453,"[-0.0508, -0.0453]",-0.05062487966904081,0.15243317781883112,-0.04826037673208566,-0.08790727747837492,"[-0.0901, -0.0857]",0.04293207457489576
UwlOppContrarian,sig_uwl_opp_gambler,0.021441829826227672,-0.02811018419516412,0.35549382502083954,0.08893311929165452,"[0.0874, 0.0905]",0.40343956975680084,0.1006339009126832,0.24081811293256056,0.4105866480871885,"[0.4084, 0.4132]",0.34903104131690954,0.1908632883940173,0.11237891342443293,0.37641272866643943,"[0.3745, 0.3784]",0.021441829826227672
UwlOppContrarian,sig_uwl_opp_retail,-0.01893226043021624,-0.12192364153134778,0.3986771224044448,0.06823556366764853,"[0.0665, 0.0700]",0.35337260217807537,0.3837429288176126,0.3675308420633765,0.42413240264803875,"[0.4216, 0.4266]",0.3029303589040191,0.3716799263615816,0.20395761566758056,0.3626020530281938,"[0.3605, 0.3647]",0.01893226043021624
