idea,signal,fold,split,design,fraction,floor,scale,trades,pnl,roi_w,pnl_per_peak,sharpe_daily
BigWinnerMarketCharacterization,sig_mkt_price,A,val,signal,,,3.0,67793,-12970.35,-0.0377,-1.297,-0.219
BigWinnerMarketCharacterization,sig_mkt_price,B,test,signal,,,3.0,58235,18936.63,0.0589,1.8937,0.499
BigWinnerMarketCharacterization,sig_mkt_price,A,val,bench_score_all,,,1.0,76325,-13271.95,-0.0385,-1.3272,-0.21
BigWinnerMarketCharacterization,sig_mkt_price,B,test,bench_score_all,,,1.0,68149,18387.79,0.057,1.8388,0.454
BigWinnerMarketCharacterization,sig_mkt_price,A,val,bench_score_price,,,3.0,67793,-12970.35,-0.0377,-1.297,-0.219
BigWinnerMarketCharacterization,sig_mkt_price,B,test,bench_score_price,,,3.0,58235,18936.63,0.0589,1.8937,0.499
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,A,val,signal,,,0.25,9715,1984.15,0.1294,0.8398,1.642
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,B,test,signal,0.25,0.668,0.25,2838,708.66,0.1252,0.2012,3.18
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,A,val,bench_score_all,,,1.0,76325,-13271.95,-0.0385,-1.3272,-0.21
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,B,test,bench_score_all,,,1.0,68149,18387.79,0.057,1.8388,0.454
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,A,val,bench_score_price,,,3.0,67793,-12970.35,-0.0377,-1.297,-0.219
CopyCrowdEntryTiming,sig_ccw_recent_24h_co,B,test,bench_score_price,,,3.0,58235,18936.63,0.0589,1.8937,0.499
CopyWalletQualitySignals,sig_wal_trade_count,A,val,signal,0.25,0.4879,2.0,58130,14725.51,0.0673,1.4726,0.315
CopyWalletQualitySignals,sig_wal_trade_count,B,test,signal,0.25,0.6604,0.25,45259,3198.39,0.0876,0.6943,0.811
CopyWalletQualitySignals,sig_wal_trade_count,A,val,bench_score_all,,,1.0,76325,-13271.95,-0.0385,-1.3272,-0.21
CopyWalletQualitySignals,sig_wal_trade_count,B,test,bench_score_all,,,1.0,68149,18387.79,0.057,1.8388,0.454
CopyWalletQualitySignals,sig_wal_trade_count,A,val,bench_score_price,,,3.0,67793,-12970.35,-0.0377,-1.297,-0.219
CopyWalletQualitySignals,sig_wal_trade_count,B,test,bench_score_price,,,3.0,58235,18936.63,0.0589,1.8937,0.499
FadeReactiveSellFlow,sig_fsf_sell_6h_both_sides,A,val,signal,0.25,0.5051,1.25,52657,-5577.79,-0.0178,-0.5578,-0.158
FadeReactiveSellFlow,sig_fsf_sell_6h_both_sides,B,test,signal,0.25,0.6317,1.25,44009,7966.77,0.0292,0.7967,0.238
FadeReactiveSellFlow,sig_fsf_sell_6h_both_sides,A,val,bench_score_all,,,1.0,76325,-13271.95,-0.0385,-1.3272,-0.21
