rule,n_total,n_fires,fire_rate,ic,mean_fired_roi_res,mean_unfired_roi_res,split
price_lt_0p5_lead_gt_24h,333237,103140,0.3095094482305386,0.008609756373594677,-0.02190943745149406,0.009820811999926621,train
price_lt_0p5_lead_gt_72h,333237,69439,0.20837722101687386,0.012473829624758946,-0.008802561510747707,0.0023170799958484177,train
price_lt_0p1,333237,120436,0.3614124481975291,0.032910511124032996,0.02838894368553779,-0.016066892644825047,train
price_gt_0p9,333237,55565,0.16674318878155786,0.018072509312956793,0.15009293973761745,-0.03003512848440139,train
price_mid_lead_gt_24h,333237,41155,0.12350069169990127,-0.0068524541460303744,-0.062155451721394826,0.008757840659794182,train
price_lt_0p5_lead_gt_24h,522324,140783,0.26953193803080083,0.021367819888702674,0.00895188924952647,0.005537201962870626,val
price_lt_0p5_lead_gt_72h,522324,97595,0.1868476271433057,0.0014544328760081869,-0.0186750329942411,0.012232584173448633,val
price_lt_0p1,522324,176694,0.33828428331840005,-0.03790263473164748,-0.02459068044027546,0.022330148100702295,val
price_gt_0p9,522324,81516,0.15606405219748662,0.07912933190544244,0.2927205457193818,-0.04647933931899922,val
price_mid_lead_gt_24h,522324,57087,0.10929423116686195,0.047262167934867164,0.057818570416094485,0.0001553072283333443,val
price_lt_0p5_lead_gt_24h,286454,60231,0.2102641261773269,0.002438967366316011,-0.026323182966969855,0.007879956953015632,test
price_lt_0p5_lead_gt_72h,286454,42260,0.14752804987886362,-0.020514475349827522,-0.07625810691255393,0.014004535191786181,test
price_lt_0p1,286454,97482,0.3403059479008846,0.11211797658653615,0.13138853103002898,-0.06673401833801193,test
price_gt_0p9,286454,36509,0.12745152799402348,0.05256679389824873,0.23487493091716297,-0.033518946105568055,test
price_mid_lead_gt_24h,286454,31773,0.11091833243731979,0.009309585095697844,-0.019184809630590945,0.003167550091649018,test
