rule,n_total,n_fires,fire_rate,ic,mean_fired_roi_res,mean_unfired_roi_res,split
price_lt_0p5_lead_gt_24h,361084,140387,0.38879318939637314,-0.026359192097576794,-0.025159148196894063,0.016003920931944526,train
price_lt_0p5_lead_gt_72h,361084,108976,0.30180235069956024,-0.006242618420658731,0.00759977744164085,-0.00328507364494685,train
price_lt_0p1,361084,84449,0.23387632794585195,-0.009221045315872083,-0.08446230094369363,0.025784000044802635,train
price_gt_0p9,361084,80336,0.22248562661319804,-0.02312593011316755,-0.055412234356095005,0.015856202926579136,train
price_mid_lead_gt_24h,361084,70940,0.1964639806803957,0.046457595597126,0.139332344534087,-0.034066658353259546,train
recurring_market,361084,344725,0.9546947524675699,-0.007623520188955519,-0.002692695202138403,0.05674181512055498,train
price_lt_0p5_lead_gt_24h,203260,87918,0.43253960444750567,-0.036659512193863215,-0.023133320355273736,0.03309393705944471,val
price_lt_0p5_lead_gt_72h,203260,60555,0.29791892157827415,-0.024612015752260717,-0.012965037423073894,0.017997852005674338,val
price_lt_0p1,203260,49495,0.24350585457050083,0.11659367649250399,0.09544945814428236,-0.019126493685401362,val
price_gt_0p9,203260,34962,0.17200629735314377,0.03298552701177831,0.028147768303075207,0.00474862062474539,val
price_mid_lead_gt_24h,203260,37343,0.18372035816196006,-0.024965577092946608,0.0688779735144751,-0.004754332200048996,val
recurring_market,203260,191044,0.9398996359342714,-0.04797923204857604,-0.00030128348713826534,0.1506912272292368,val
price_lt_0p5_lead_gt_24h,100217,36792,0.36712334234710675,0.11284228659687079,0.10757851213943447,-0.05204713120553531,test
price_lt_0p5_lead_gt_72h,100217,25165,0.25110510192881447,0.08927204439257216,0.11912508068200073,-0.03118961964290828,test
price_lt_0p1,100217,25023,0.24968817665665505,0.18442988329019272,0.21351163629569933,-0.06231564158183217,test
price_gt_0p9,100217,16172,0.16136982747438058,0.008945362275546861,-0.003380131347149065,0.008466926123732434,test
price_mid_lead_gt_24h,100217,16870,0.1683347136713332,-0.06691149843587502,-0.07982456712924696,0.02403901483428789,test
recurring_market,100217,94619,0.9441412135665606,0.021526114037824375,0.011849262315078145,-0.08292712201989721,test
