config,02-28,03-04,feb_total
UNL_equal_p<0.1,-1210.0,-3348.0,-1318.0
UNL_B_equal_p<0.1,-1140.0,-3229.0,-1543.0
UNL_B_hhi_equal_p<0.1,-1140.0,-3229.0,-1543.0
UNL_B_hhi_equal_p<0.1_098,-1064.0,-2792.0,-1300.0
UNL_B_hhi_equal_p<0.1_095,-959.0,-2568.0,-1180.0
UNL_B_hhi_equal_p<0.1_090,-885.0,-2323.0,-1048.0
UNL_B_hhi_equal_none,-22785.0,-67696.0,-76480.0
relax_UNL_equal_p<0.1,11255.0,117164.0,-6427.0
relax_UNL_equal_p<0.1_098,-4350.0,97741.0,-16799.0
relax_UNL_equal_p<0.1_095,-2849.0,51770.0,-13244.0
relax_UNL_equal_p<0.1_090,-975.0,47656.0,-8952.0
relax_UNL_B_hhi_equal_p<0.1,2483.0,8905.0,-783.0
relax_UNL_B_hhi_equal_p<0.1_098,748.0,8058.0,-2854.0
relax_UNL_B_hhi_equal_p<0.1_095,1064.0,7454.0,-1874.0
relax_UNL_B_hhi_equal_p<0.1_090,1357.0,7560.0,-1129.0
relax_UNL_B_hhi_equal_none,-215496.0,-36732.0,-195033.0
relax_UNL_B_hhi_equal_none_098,-15601.0,-15305.0,-38332.0
relax_UNL_equal_none,-96545.0,440608.0,316025.0
