config,alpha_col,val_scale,val_sharpe,val_pnl,val_trades,val_mean_used,val_max_dd,test_sharpe,test_pnl,test_trades,test_mean_used,test_max_dd
UNL_B_hhi_equal_p<0.1_5m_095,alpha_equal,1.0,1.885,27050.99,747,316.92,4734.41,-2.325,-4574.84,1364,417.08,4651.73
UNL_B_equal_p<0.1_5m_095,alpha_equal,1.0,1.885,27050.99,747,316.92,4734.41,-2.325,-4574.84,1366,417.08,4651.73
UNL_B_hhi_equal_p<0.1_20m_100,alpha_equal,1.8,1.84,37508.79,747,466.48,6026.81,-0.103,-553.1,1364,601.2,7194.85
UNL_B_equal_p<0.1_20m_100,alpha_equal,1.8,1.84,37508.79,747,466.48,6026.81,-0.104,-557.75,1366,601.23,7199.5
UNL_B_hhi_equal_p<0.1,alpha_equal,0.7000000000000001,1.808,23625.64,747,309.69,4140.96,0.021,75.75,1364,403.73,4588.92
UNL_B_equal_p<0.1,alpha_equal,0.7000000000000001,1.808,23625.64,747,309.69,4140.96,0.02,72.5,1366,403.75,4592.17
UNL_B_hhi_equal_none_20m_100,alpha_equal,0.8,1.628,30157.79,4659,6472.24,3307.97,1.21,3049.39,3242,8680.93,871.09
UNL_B_equal_none,alpha_equal,0.8,1.628,30157.79,4659,6472.24,3307.97,1.303,3440.14,3249,8704.3,805.21
UNL_B_equal_none_20m_100,alpha_equal,0.8,1.628,30157.79,4659,6472.24,3307.97,1.303,3440.14,3249,8704.3,805.21
UNL_B_hhi_equal_none,alpha_equal,0.8,1.628,30157.79,4659,6472.24,3307.97,1.21,3049.39,3242,8680.93,871.09
relax_UNL_B_hhi_equal_p<0.1_20m_100,alpha_equal,3.0,1.366,367059.37,5019,1118.61,14279.52,0.76,15561.25,2547,1695.73,4343.52
relax_UNL_B_equal_p<0.1_20m_100,alpha_equal,3.0,1.363,366685.0,5030,1120.75,14279.52,0.759,15556.6,2549,1695.75,4348.17
UNL_equal_p<0.1_5m_095,alpha_equal,1.1,1.346,26776.25,1498,275.15,7164.14,-0.219,-1191.1,2340,334.98,5938.31
UNL_B_hhi_equal_none_5m_095,alpha_equal,0.8,1.327,41185.01,7497,5353.78,4997.18,0.043,244.48,5608,6420.18,3849.24
UNL_B_equal_none_5m_095,alpha_equal,0.8,1.327,41185.01,7497,5353.78,4997.18,0.051,287.16,5641,6426.15,3815.28
relax_UNL_B_hhi_equal_p<0.1_5m_095,alpha_equal,1.0,1.301,192561.05,5304,712.03,7495.61,0.484,9291.16,2861,1627.68,6199.24
relax_UNL_B_equal_p<0.1_5m_095,alpha_equal,1.0,1.299,192478.17,5315,712.58,7495.61,0.484,9291.16,2863,1627.68,6199.24
relax_UNL_B_hhi_equal_p<0.1,alpha_equal,1.6,1.264,325353.08,5078,972.84,11956.87,0.727,14521.63,2563,1612.55,4132.94
relax_UNL_B_equal_p<0.1,alpha_equal,1.6,1.262,325126.97,5089,974.17,11956.87,0.727,14516.98,2565,1612.57,4132.94
UNL_equal_p<0.1_20m_100,alpha_equal,1.3,1.186,31955.78,1498,401.47,8561.83,0.64,12809.6,2340,480.1,8941.57
UNL_equal_p<0.1,alpha_equal,0.9,1.179,27513.67,1498,349.84,7572.49,0.619,10104.19,2340,422.93,7645.08
UNL_equal_none_20m_100,alpha_equal,2.3000000000000003,1.143,32965.94,8056,4247.71,2977.49,0.377,2045.84,5953,4775.02,2562.44
relax_UNL_B_hhi_equal_none_20m_100,alpha_equal,0.7000000000000001,1.097,61044.15,17951,3807.58,3935.92,-0.642,-3323.51,9095,5659.19,5477.82
relax_UNL_B_hhi_equal_none,alpha_equal,0.7000000000000001,1.097,61044.15,17951,3807.58,3935.92,-0.642,-3323.51,9095,5659.19,5477.82
relax_UNL_B_equal_none_20m_100,alpha_equal,2.7,1.086,67241.32,17553,3985.64,2647.83,-0.859,-6111.46,8997,5024.9,8664.92
relax_UNL_B_equal_none,alpha_equal,0.4,1.083,41974.1,18530,3630.6,2375.09,-0.09,-411.56,9380,4956.04,3181.14
relax_UNL_equal_none,alpha_equal,0.6000000000000001,0.996,32481.12,42219,3382.6,2727.41,-1.424,-9207.38,26533,5109.24,9207.38
relax_UNL_equal_none_20m_100,alpha_equal,0.6000000000000001,0.996,32481.12,42219,3382.6,2727.41,-1.424,-9207.38,26533,5109.24,9207.38
relax_UNL_equal_p<0.1_20m_100,alpha_equal,0.7000000000000001,0.992,233550.55,13706,1724.57,14401.89,0.563,17302.27,7091,2175.51,11522.55
relax_UNL_equal_p<0.1,alpha_equal,0.7000000000000001,0.992,233550.55,13706,1724.57,14401.89,0.563,17302.27,7091,2175.51,11522.55
relax_UNL_equal_p<0.1_5m_095,alpha_equal,0.30000000000000004,0.967,138325.02,15535,736.96,6256.65,0.537,21244.39,8842,1007.53,4396.62
relax_UNL_B_equal_none_5m_095,alpha_equal,0.30000000000000004,0.761,71929.39,32969,3213.55,2148.83,0.166,803.55,16965,3797.92,4208.47
relax_UNL_B_hhi_equal_none_5m_095,alpha_equal,0.30000000000000004,0.76,71780.03,32760,3214.32,2148.26,0.164,794.51,16907,4263.23,4208.47
relax_UNL_equal_none_5m_095,alpha_equal,0.7000000000000001,0.745,93312.56,82539,3020.48,2249.45,-0.699,-7001.33,50947,4731.53,10843.66
UNL_equal_none_5m_095,alpha_equal,1.3,0.704,33877.51,13513,3898.66,6270.81,0.011,73.99,10438,4677.94,3585.93
UNL_equal_none,alpha_equal,0.7000000000000001,0.657,26299.38,8683,4096.75,5849.47,0.376,1887.75,6085,4463.96,2659.02
