config,net_pnl,sharpe,trades,peak_used,mean_used,max_dd,n_eval_days,scale_p10,scale_median,scale_p90
UNL_equal_p<0.1,1800.48,0.121,4590,5437.07,341.5,5351.99,363,0.1,0.3,1.6
UNL_B_equal_p<0.1,31392.82,1.01,2289,6104.08,295.74,4906.6,212,0.3,0.5,1.6
UNL_B_hhi_equal_p<0.1,31394.22,1.01,2287,6104.08,295.73,4905.21,211,0.3,0.5,1.6
UNL_p98_equal_p<0.1,1800.48,0.121,4590,5437.07,341.5,5351.99,363,0.1,0.3,1.6
UNL_p95_equal_p<0.1,1800.48,0.121,4590,5437.07,341.5,5351.99,363,0.1,0.3,1.6
UNL_p90_equal_p<0.1,1800.48,0.121,4590,5437.07,341.5,5351.99,363,0.1,0.3,1.6
UNL_p98_equal_none,19579.62,0.315,22361,10000.0,6146.49,11740.57,423,0.1,0.5,0.9
UNL_p95_equal_none,19579.62,0.315,22361,10000.0,6146.49,11740.57,423,0.1,0.5,0.9
UNL_p90_equal_none,19579.62,0.315,22361,10000.0,6146.49,11740.57,423,0.1,0.5,0.9
UNL_B_hhi_equal_none,28312.74,0.654,11948,10000.0,5897.55,8172.12,372,0.2,0.7,1.6
