wallet,0.9,0.95,0.98,1.0,fill_0.9,fill_0.95,fill_0.98,fill_1
0x206191d01c411a5b346d11a2df2d463a356b8ec9,3173.51,12788.89,14270.97,20478.45,0.26,0.31,0.44,1.0
0xb43699cbbb52520952833c10737bc43e7625bb3c,3153.69,3120.33,3628.19,3218.43,0.15,0.15,0.31,1.0
0xfc2f4f50ce2f6045d35558a5e2d8d4b2ac6610c7,329.3,2041.29,1784.07,1887.94,0.15,0.38,0.46,1.0
0x7d51f58c68b427d113d5c84b508161d4e0286f1f,182.2,821.34,857.0,1010.25,0.12,0.38,0.46,1.0
0x6bc74c392c320cfe10d5be61db978a58c8444ad4,610.03,736.25,763.56,903.85,0.24,0.29,0.35,1.0
0x1f9e15f39bbd5d163b0eacf0fbef647ced9e4f1a,44.45,334.52,318.82,806.04,0.08,0.11,0.14,1.0
0x6725d56690fbe9ba9f301997cef4b503f1cd1bf9,409.98,326.16,243.96,295.03,0.27,0.38,0.5,1.0
0x33739438875aee79e98a26f87320d984f0703716,35.81,0.2,25.67,289.81,0.23,0.38,0.46,1.0
0xa9f2d6b4a8b0b322ddb2f837c2852c1b47056c8e,-34.98,-77.91,-149.87,225.58,0.06,0.09,0.22,1.0
0xb37aa8834f9baefc6fb3312f59df8ddf0348f1b1,202.01,887.89,157.67,118.11,0.06,0.09,0.18,1.0
0xd35694160b7bc6f734ab2e95072686aceb1a963d,0.0,0.0,0.0,13.53,0.0,0.0,0.0,1.0
0x7a90bfdb1c7bbb30ab19fdd48a6b49dede972ff9,-0.96,-1.01,-1.04,-2.24,0.5,0.5,0.5,1.0
0x238fe1b4a91d47bda4fb418dd4a6a09494983015,-70.55,24.79,9.22,-44.74,0.17,0.25,0.33,1.0
0x882b45bba3afa6c269b4c226aecd86d06e81a746,0.0,0.0,-14.09,-46.8,0.0,0.0,0.14,1.0
0xc798197ae9aff808af4406320f31d822ae788aab,-33.77,-35.64,-36.77,-62.52,0.2,0.2,0.2,1.0
0xaacbc9d95817074834824232a53bbfb88ff290cb,-4.0,-43.79,-47.93,-101.39,0.16,0.2,0.24,1.0
0xcf6a714618a328c608a1c70cb62a31a6bef3f9d0,-37.65,-75.37,-77.75,-106.88,0.22,0.33,0.33,1.0
0x0787a58e205a70320db638113fe8da18c8800ca3,-201.68,-382.67,-357.59,-126.37,0.14,0.19,0.24,1.0
0x9ffaa9cd1fb96e1fd635cae0a13e2022827fc8fc,20.45,111.11,124.0,-144.33,0.23,0.33,0.39,1.0
0xd7befdd99c37c7fb63c2845c6eb931506fca539f,0.0,0.0,-109.45,-182.83,0.0,0.0,0.21,1.0
0x01adea599a865a092b51ee4573581a75fc1390f6,-140.72,-160.68,-151.25,-228.67,0.29,0.5,0.79,1.0
0x82001288e3b1f5dd413e3126a34e1583badedf37,-180.0,-224.01,-231.08,-230.89,0.5,0.75,0.75,1.0
0xfb328b94ed05115259bbc48ba8182df1416edb85,0.0,-857.02,-1045.06,-604.79,0.0,0.36,0.45,1.0
0x40cfb29411d29f4fa0908f2a121297042cccd21d,-197.27,-903.01,-1443.35,-1523.59,0.05,0.11,0.14,1.0
0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,-2547.1,-2455.31,-3202.6,-4441.49,0.15,0.25,0.32,1.0
0x93521335308a270795daa9f073b5406938b12227,-3206.46,-4239.9,-5490.31,-7794.52,0.11,0.17,0.25,1.0
