scheme,variant,split,scale,budget,trades,net_pnl,notional,peak_used,mean_used,pnl_per_peak,sharpe_daily,sharpe_weekly
equal,price_exposed,val,0.7000000000000001,10000.0,34486,312.98,49702.47,2334.65,551.33,0.1341,0.095,1.817
equal,price_exposed,test,0.7000000000000001,10000.0,28442,2211.95,43636.02,3056.62,405.78,0.7237,1.061,8.385
equal,price_controlled,val,0.7000000000000001,10000.0,34486,312.98,49702.47,2334.65,551.33,0.1341,0.095,1.817
equal,price_controlled,test,0.7000000000000001,10000.0,28442,2211.95,43636.02,3056.62,405.78,0.7237,1.061,8.385
ic_weighted,price_exposed,val,2.0,10000.0,34486,486.23,142236.76,5655.71,1643.12,0.086,0.059,1.25
ic_weighted,price_exposed,test,2.0,10000.0,28442,5171.04,133730.56,7402.72,1335.18,0.6985,0.951,7.949
ic_weighted,price_controlled,val,0.9,10000.0,34486,441.18,69590.79,3133.96,773.66,0.1408,0.113,1.733
ic_weighted,price_controlled,test,0.9,10000.0,28442,2769.87,67535.82,4504.6,637.97,0.6149,1.115,7.931
shrinkage_markowitz,price_exposed,val,0.5,10000.0,34486,122.51,36052.45,1574.69,409.27,0.0778,0.061,1.235
shrinkage_markowitz,price_exposed,test,0.5,10000.0,28442,1310.57,35351.96,2236.7,343.4,0.5859,1.002,7.719
shrinkage_markowitz,price_controlled,val,0.1,10000.0,34486,50.57,6621.0,300.91,73.18,0.168,0.147,1.953
shrinkage_markowitz,price_controlled,test,0.1,10000.0,28442,257.33,6621.55,435.02,61.6,0.5915,1.185,7.61
