score,fold,split,drop,trades,pnl,roi_w,sharpe_daily,mean_used
bad_ua,A,val,0.02,34341,1841.05,0.0086,0.137,2846.81
bad_ua,A,val,0.05,33994,1856.32,0.0089,0.139,2768.47
bad_ua,A,val,0.1,32996,2034.55,0.0103,0.154,2627.63
bad_ua,A,val,0.2,30034,1135.48,0.0067,0.096,2278.31
bad_ua,B,test,0.02,28146,9427.8,0.0466,0.82,2311.39
bad_ua,B,test,0.05,27534,9406.89,0.049,0.832,2230.41
bad_ua,B,test,0.1,26428,9219.68,0.0524,0.846,2035.62
bad_ua,B,test,0.2,23610,8127.3,0.0577,0.833,1686.93
bad_cc,A,val,0.02,33932,1787.57,0.0084,0.13,2821.13
bad_cc,A,val,0.05,33279,2051.31,0.0099,0.151,2754.74
bad_cc,A,val,0.1,30791,2156.85,0.0117,0.172,2462.12
bad_cc,A,val,0.2,24050,2875.51,0.0222,0.264,1781.16
bad_cc,B,test,0.02,28018,8519.63,0.0418,0.751,2322.72
bad_cc,B,test,0.05,27348,8513.26,0.0431,0.752,2282.86
bad_cc,B,test,0.1,25853,7962.15,0.0445,0.727,2115.31
bad_cc,B,test,0.2,22496,5467.83,0.0365,0.542,1793.88
composite,A,val,0.02,34132,2273.24,0.0107,0.167,2815.1
composite,A,val,0.05,33369,2382.22,0.012,0.176,2642.33
composite,A,val,0.1,30563,2251.46,0.0137,0.184,2256.26
composite,A,val,0.2,28053,3219.84,0.0228,0.277,1967.93
composite,B,test,0.02,28151,9314.07,0.0464,0.803,2310.42
composite,B,test,0.05,27507,9232.6,0.049,0.8,2195.84
composite,B,test,0.1,25920,8694.58,0.0529,0.78,1948.21
composite,B,test,0.2,23544,7477.74,0.053,0.718,1732.96
copy_all,A,val,0.0,34486,1853.11,0.0085,0.138,2869.79
copy_all,B,test,0.0,28442,9400.19,0.0458,0.814,2349.36
