score,fold,split,drop,floor,n,n_share,pnl,roi_w,notional_share,mean_price
bad_ua,A,val,0.02,550.2061,244,0.0047,13.84,0.0078,0.0082,0.892
bad_ua,A,val,0.05,226.2476,764,0.0146,4.11,0.0006,0.0337,0.858
bad_ua,A,val,0.1,68.9902,2287,0.0438,-162.04,-0.0084,0.0894,0.823
bad_ua,A,val,0.2,12.1624,6734,0.129,765.57,0.016,0.2209,0.787
bad_ua,B,test,0.02,367.0467,460,0.0109,-24.58,-0.0081,0.0148,0.869
bad_ua,B,test,0.05,114.7467,1322,0.0313,6.56,0.0005,0.0646,0.84
bad_ua,B,test,0.1,36.8605,2956,0.07,209.66,0.0072,0.1421,0.823
bad_ua,B,test,0.2,5.9348,7170,0.1697,1337.05,0.0208,0.3128,0.8
bad_cc,A,val,0.02,182.4141,765,0.0147,69.49,0.0176,0.0182,0.288
bad_cc,A,val,0.05,78.1039,1602,0.0307,-188.61,-0.0197,0.0442,0.326
bad_cc,A,val,0.1,21.5445,4834,0.0926,-270.91,-0.0083,0.1513,0.397
bad_cc,A,val,0.2,3.8738,14052,0.2691,-935.06,-0.0107,0.4025,0.436
bad_cc,B,test,0.02,152.5683,629,0.0149,881.92,0.6474,0.0066,0.215
bad_cc,B,test,0.05,57.3221,1465,0.0347,894.48,0.1184,0.0368,0.273
bad_cc,B,test,0.1,20.0511,3406,0.0806,1464.15,0.0561,0.1273,0.35
bad_cc,B,test,0.2,5.3429,8082,0.1913,3987.53,0.0723,0.269,0.41
composite,A,val,0.02,1.6035,439,0.0084,-414.83,-0.0782,0.0244,0.787
composite,A,val,0.05,1.4162,1442,0.0276,-510.73,-0.0278,0.0847,0.756
composite,A,val,0.1,1.0461,5263,0.1008,-345.64,-0.0066,0.2429,0.711
composite,A,val,0.2,0.5533,8878,0.17,-1291.17,-0.0171,0.3482,0.644
composite,B,test,0.02,1.5477,388,0.0092,90.71,0.0197,0.0224,0.727
composite,B,test,0.05,1.3516,1246,0.0295,184.28,0.011,0.0814,0.736
composite,B,test,0.1,1.049,3449,0.0816,746.3,0.0183,0.1984,0.726
composite,B,test,0.2,0.5284,6883,0.1629,1986.36,0.0311,0.3116,0.643
