design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
kelly@2,0.0,-3550.54,-0.348,-0.973,-1.315,2.975
kelly@2,10.0,-3560.75,-0.349,-0.973,-1.315,2.975
kelly@2,30.0,-3581.15,-0.351,-0.973,-1.315,2.975
tier3@2-0,0.0,-1280.25,-0.1259,-1.256,-2.054,2.642
tier3@2-0,10.0,-1290.42,-0.1269,-1.256,-2.054,2.642
tier3@2-0,30.0,-1310.76,-0.1289,-1.256,-2.054,2.642
uniform@1,0.0,-1771.98,-0.1755,-0.994,-1.84,3.094
uniform@1,10.0,-1782.08,-0.1765,-0.994,-1.84,3.094
uniform@1,30.0,-1802.28,-0.1785,-0.994,-1.84,3.094
copy_all,0.0,-1771.98,-0.1755,-0.994,-1.84,3.094
copy_all,10.0,-1782.08,-0.1765,-0.994,-1.84,3.094
copy_all,30.0,-1802.28,-0.1785,-0.994,-1.84,3.094
copy_all,10.0,-1782.08,-0.1765,-0.994,-1.84,3.094
