scheme,config,split,trades,pnl,roi_w,sharpe_daily,mean_used,peak_used
kelly,kelly@2,train,1975,8486.42,0.2616,3.625,457.1,3220.1
kelly,kelly@4,train,1975,8486.42,0.2616,3.625,457.1,3220.1
kelly,kelly@8,train,1975,8486.42,0.2616,3.625,457.1,3220.1
tier,tier3@2-0,train,2000,8583.6,0.2988,3.684,407.05,3441.64
tier,tier3@2-0.25,train,1993,8568.14,0.2858,3.682,423.86,3381.97
tier,tier3@4-0,train,2000,8583.6,0.2988,3.684,407.05,3441.64
tier,tier3@4-0.25,train,1996,8585.12,0.2913,3.687,416.98,3412.98
tier,tier3@8-0,train,2000,8583.6,0.2988,3.684,407.05,3441.64
tier,tier3@8-0.25,train,1999,8581.7,0.2949,3.685,411.94,3424.42
tier,tier4@2-0,train,1956,8543.6,0.2692,3.66,447.86,3284.88
tier,tier4@2-0.25,train,1977,8526.57,0.2638,3.647,455.97,3248.59
tier,tier4@4-0,train,1956,8543.6,0.2692,3.66,447.86,3284.88
tier,tier4@4-0.25,train,1982,8536.12,0.2668,3.654,451.63,3266.51
tier,tier4@8-0,train,1956,8543.6,0.2692,3.66,447.86,3284.88
tier,tier4@8-0.25,train,1952,8539.83,0.2676,3.657,450.22,3275.64
tier,tier5@2-0,train,1978,8485.6,0.2606,3.623,458.75,3214.03
tier,tier5@2-0.25,train,1977,8468.74,0.2563,3.612,465.17,3189.17
tier,tier5@4-0,train,1978,8485.6,0.2606,3.623,458.75,3214.03
tier,tier5@4-0.25,train,1975,8479.19,0.2584,3.619,462.0,3201.49
tier,tier5@8-0,train,1978,8485.6,0.2606,3.623,458.75,3214.03
tier,tier5@8-0.25,train,1977,8480.96,0.2595,3.621,460.32,3207.73
uniform,uniform@0.5,train,2014,4547.26,0.2239,3.627,284.95,1586.91
uniform,uniform@1,train,1960,8093.0,0.2221,3.534,517.47,3030.97
uniform,uniform@2,train,1854,12053.09,0.2532,3.286,672.72,4026.03
uniform,uniform@4,train,1742,17003.65,0.299,3.201,812.71,5345.99
copy_all,copy_all,train,1960,8093.0,0.2221,3.534,517.47,3030.97
kelly,kelly@2,test,6059,2402.29,0.0353,0.319,389.63,3709.21
tier,tier3@4-0.25,test,6068,3928.08,0.0589,0.512,374.96,3810.28
uniform,uniform@0.5,test,6088,611.32,0.0161,0.162,211.1,2291.34
copy_all,copy_all,test,6061,916.12,0.0132,0.122,402.04,3544.31
