city,condition_id,resolution_source,station,station_icao,station_other_id
New York City,0x9a82bfe933aaed16ed87f1b163c5ec58bf6396a397723b2e6a8780bbd1a854f4,Wunderground,LaGuardia Airport,,
Washington,0xb4174a7b0d700835176669a8161d8e94a620bc5cd707d7f2ae54448ac9f15d87,Wunderground,Ronald Reagan Washington National Airport,,
London,0xaebf95fc7749b2cf0f2863a62b58b99535699e7a98fc9ef7cadd829f081caa93,Wunderground,,EGLC,
Dubai,0xba5815633906c7f6d91d3dca1262a951fcd0209b300b3ce81f1bdee941ffaab6,Wunderground,,OMDB,
Chicago,0xaa61dba1f9d9c5d9943c427e64a86a675f6296df7f935a3bd82c847ad95daee5,Wunderground,Chicago O'Hare Intl Airport,,
Los Angeles,0xb940eb73740c375fc4616ace87e8a15c5ee4468126367980f5bc684e56b20fa5,Wunderground,Los Angeles Intl Airport,,
Denver,0xe7feafeacc9d3c66baac4cf0e6766410fb17fafee88e475be66695b1a488b6a3,Wunderground,Buckley Space Force Base,,
Phoenix,0xf7d569f45716b3015d77595657181c1c58c985cc87ce9b38b60cc3738502313c,Wunderground,Phoenix Sky Harbor Intl Airport,,
Miami,0x233509326b72aa639498c5ecf936c281fa84e28e6c334ffa893729b488ef3c12,Wunderground,Miami Intl Airport,,
Dallas,0x6b0f32a6e4675b027ea1b93243bd22db65c12ccc3234b2f396cde8cb14361748,Wunderground,Dallas Love Field,,
Buenos Aires,0xa322c01b02025955a972c28cbb853b29b3c67a840dbe45512ca8ee365c8b3699,Wunderground,,SAEZ,
Seattle,0xa386294f4bd62abe79e8c5221f7f2fb88547d1eb0a9995922b0b4f4657ee2251,Wunderground,Seattle-Tacoma International Airport,,
Toronto,0x93116232c58a259cb7de9307ae2be471c5e22ba83c5cd43eabc0fea1c268965c,Wunderground,,CYYZ,
Seoul,0xe1b3606eaea51dfe2161618c64f9627289e6cc36fa7745a75ab8dd33acafeaf7,Wunderground,,RKSI,
Atlanta,0xc49f29db84fb847699b284d713358b3994c48369386a428679654a8638237cc3,Wunderground,Hartsfield-Jackson International Airport,,
