condition_id,question,end_date_iso
0xaf5c8cb35003d61f3c0b3bba707690f93bc10cb9296024112bc89522234bbbe6,Will LA wildfires burn 60-70k acres by Sunday?,2025-01-12T00:00:00Z
0x79d78aaa7abc25c8863af1268cb1d6ac627a8bcb2554c8e48b5dabbcad439de1,Will LA wildfires burn 50-60k acres by Sunday?,2025-01-12T00:00:00Z
0x0c001e1bd128c714a2a9e33d25c9e68428c2e24db5dcf4c89582d61567927776,Will LA wildfires burn 40-50k acres by Sunday?,2025-01-12T00:00:00Z
0x3221b45460d346891f0bd7bfba419c764d9f92cb3219656d061ad3bfbe65eda7,Will LA wildfires burn les than 30k acres by Sunday?,2025-01-12T00:00:00Z
0x747de681fb499296917e4011970396304a5b24aa792675460fe3e8517f7173d6,Will LA wildfires burn 70-80k acres by Sunday?,2025-01-12T00:00:00Z
0x4f2beeb045b6c1a1951ccb132bd8387ff3b21fea812a097068f39c6e6e62fce0,Will LA wildfires burn 30-40k acres by Sunday?,2025-01-12T00:00:00Z
0x3575c7f7f46936f8d1c48140fdbbb5e2297b2741665d1f09cfcffa2f7e695635,Will LA wildfires burn 80k or more acres by Sunday?,2025-01-12T00:00:00Z
0xdf641a571c6e59e5d89283754e597c761de511af363ab881cc9fed18369c88c8,Will it rain in LA by next Friday?,2025-01-17T00:00:00Z
0x3d246ca4f2f932241bcd82d1e07cfd326c8b856af83cdb37c0ddb79edc20243c,Will it snow in D.C. on Inauguration day?,2025-01-20T00:00:00Z
0xec546c6a595053f166b0fa711cb43a5e9943b89c3a872192f177323ed74e399c,Will the highest temperature in NYC 47°F or higher on January 26?,2025-01-26T00:00:00Z
0x4bfd4d337c9345ba4ed74cbee0ccdfc6ad06c6302d9753b412484885ed830c74,Will the highest temperature in NYC 36°F or below on January 26?,2025-01-26T00:00:00Z
0x63737d490e6f52083d2de3e617094c2efbdd9a0deb1ba05e38772fd2c6cb76cf,Will all LA wildfires be fully contained before February?,2025-01-31T00:00:00Z
0x48b89ee1ee4632a1f3e173782e7081121c2c95035be6bcc0f9c3c8a119aae9e6,Arsonists arrested in connection with LA wildfires?,2025-01-31T00:00:00Z
0xe83c11cb3ac0a2647ffaa6086f628aff1642fb5db6288559b655f65cfc83293c,Will the highest temperature in London between 47-48°F on February 1?,2025-02-01T00:00:00Z
0x7ab6e97af49f3041afdf42bc7f83fabdeea47857e8e0138cc87e7d7261e42cfb,Will the highest temperature in London between 41-42°F on February 1?,2025-02-01T00:00:00Z
0x162c70ec5030a64055407a6b4a310a81cb8596cb22a6d6ba6356fc770457cc53,Will the highest temperature in London between 45-46°F on February 1?,2025-02-01T00:00:00Z
0x596c8c06b0fce5a1cd6b240c31133c1d23ee372c51e07ae61b52f6321ca811d3,Will the highest temperature in London between 39-40°F on February 1?,2025-02-01T00:00:00Z
0x57e4ec72627751ae5b8d8494e16cda03545d047e49291a0c8f6acea6f4b6f396,Will the highest temperature in London between 43-44°F on February 1?,2025-02-01T00:00:00Z
0x9501af1168e1fd064e415fe4126f217e03f251d39185501133475b83ac021d20,Will global temperature increase by between 1.20-1.24ºC in February 2025?,2025-02-28T00:00:00Z
0xe830529963a5e25606a7b4b8d04c8a906ba42e1c1cf2fd3d3638e9de7db4d4cc,Will global temperature increase by between 1.35-1.39ºC in February 2025?,2025-02-28T00:00:00Z
0xc503e7867b933eb1ecb3d25bd2414cfb3738c318216fbe929da6cc8944fadcd7,Will global temperature increase by less than 1.20ºC in February 2025?,2025-02-28T00:00:00Z
0x347f02831ef1a270536ecc0ceacda4245ec9b5ebc9f3f1ae860bad4fdaad7615,2025 February hottest on record?,2025-02-28T00:00:00Z
0x1bfee74a9e930055ff37e24abd89bce68f33817b2c6bbafe906064249954fbb4,Will global temperature increase by more than 1.39ºC in February 2025?,2025-02-28T00:00:00Z
0x722b18e9603c9b1a6fb1feca5a40817613c72980b3f87c6e6d4c73f1dd2372a8,Will global temperature increase by between 1.25-1.29ºC in February 2025?,2025-02-28T00:00:00Z
0x469095132de3f9f67b3a6f148f289cfc8375262ce0285383c5f7e983700aa912,Will global temperature increase by between 1.30-1.34ºC in February 2025?,2025-02-28T00:00:00Z
0x95aebeeaa27416d732a3b3884299a0f49e0ea5e303aea494b031ab8b5ffc5650,Will global temperature increase by between 1.32-1.36ºC in March 2025?,2025-03-31T00:00:00Z
0xea13132c59f615355257c2c982685775ed223e2da2bc4e6464539c41fe99775d,Will global temperature increase by between 1.27-1.31ºC in March 2025?,2025-03-31T00:00:00Z
0xf0b9fc21c0d1a0d1db4613b7afdab44348c48866601177fe50d26bc25e9e234c,Will global temperature increase by between 1.37-1.41ºC in March 2025?,2025-03-31T00:00:00Z
0x189d47cc689f765e1f935496ff970884f50f5c6c6d4923a59730d4fc640f1807,Will global temperature increase by more than 1.41ºC in March 2025?,2025-03-31T00:00:00Z
0x5e8042ee380c9246f361bd68dbc50876e798d429e20799daffa435b8e089feca,Will global temperature increase by between 1.22-1.26ºC in March 2025?,2025-03-31T00:00:00Z
0x4b774c74e8672a632d6c12d04620f0c19a3ea10e74871a0239c9392805b70a90,2025 March hottest on record?,2025-03-31T00:00:00Z
0x433ca79a20d282515085571e802680423b0131ff8dc84ee4a4d83ebc0cec0ed1,Will global temperature increase by less than 1.22ºC in March 2025?,2025-03-31T00:00:00Z
0xb2224e771b0148f4670919b4d4e29f574c378b145d3996721e2f381ad405091b,Will global temperature increase by more than 1.17ºC in April 2025?,2025-04-30T00:00:00Z
0x7e5c678e76679c1d6c34d8f621b21fed7deaa7d09259ffd2e7cc93b64e6158a4,Will global temperature increase by more than 1.41ºC in April 2025?,2025-04-30T00:00:00Z
0x794cc09686ad0514db44128c1a799e0baf901b315feb4e1f6a2df899e60d30e2,Will global temperature increase by between 1.22-1.26ºC in April 2025?,2025-04-30T00:00:00Z
0x92a1a8699c10e80d21b4906c485b8df55c541ce7eb5eba07e8f79e20a86d44db,Will global temperature increase by between 1.32-1.36ºC in April 2025?,2025-04-30T00:00:00Z
0x878d5343b628e1044cc4d1a29ab793d828accbafc6bf535468d49ba02e3a85d5,Will global temperature increase by less than 1.08ºC in April 2025?,2025-04-30T00:00:00Z
0xf1786b52d541bcafed06186aee2dfde04a041d9115a319572548a8696f732d78,Earthquake 7.0 or above in April?,2025-04-30T00:00:00Z
0xf904c9f6ecae72a847f164f750ceec6b0ba6c98e8fc28837feb09119e3e2eada,2025 April hottest on record?,2025-04-30T00:00:00Z
0x21e6b634e10eb7144980f50915338dbe1fa2358a6ca86218b3bb31ac8ea95b48,Will global temperature increase by less than 1.22ºC in April 2025?,2025-04-30T00:00:00Z
0x01f23c17eb2f18ba55efff3ee611cb6f2a11eeeee397fe6babafdd92d692c91f,Will global temperature increase by between 1.08-1.12ºC in April 2025?,2025-04-30T00:00:00Z
